cellI,surfNorm_x,surfNorm_y,surfNorm_z,sigma,yOrtho,intCell0,intCell1,intCell2,intPoint0_x,intPoint0_y,intPoint0_z,intPoint1_x,intPoint1_y,intPoint1_z,intPoint2_x,intPoint2_y,intPoint2_z
20400,-0.01667880787,-0.999860899,1.808319973e-18,-7.349958277e-05,7.349958277e-05,20400,20000,19600,0.02512622589,0.01044848936,0.000125,0.02512202146,0.01019644229,0.000125,0.02511781703,0.009944395218,0.000125
20401,4.746425475e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20401,20001,19601,0.025375,0.01044849958,0.000125,0.025375,0.01019641745,0.000125,0.025375,0.009944335312,0.000125
20402,4.831690603e-16,-1,2.168404345e-16,-7.349958277e-05,7.349958277e-05,20402,20002,19602,0.025625,0.01044849958,0.000125,0.025625,0.01019641745,0.000125,0.025625,0.009944335312,0.000125
20403,-2.728484105e-15,-1,3.252606517e-16,-7.349958277e-05,7.349958277e-05,20403,20003,19603,0.025875,0.01044849958,0.000125,0.025875,0.01019641745,0.000125,0.025875,0.009944335312,0.000125
20404,3.836930773e-15,-1,2.710505431e-16,-7.349958277e-05,7.349958277e-05,20404,20004,19604,0.026125,0.01044849958,0.000125,0.026125,0.01019641745,0.000125,0.026125,0.009944335312,0.000125
20405,1.023181539e-15,-1,2.168404345e-16,-7.349958277e-05,7.349958277e-05,20405,20005,19605,0.026375,0.01044849958,0.000125,0.026375,0.01019641745,0.000125,0.026375,0.009944335312,0.000125
20406,1.98951966e-16,-1,2.710505431e-16,-7.349958277e-05,7.349958277e-05,20406,20006,19606,0.026625,0.01044849958,0.000125,0.026625,0.01019641745,0.000125,0.026625,0.009944335312,0.000125
20407,6.252776075e-16,-1,3.252606517e-16,-7.349958277e-05,7.349958277e-05,20407,20007,19607,0.026875,0.01044849958,0.000125,0.026875,0.01019641745,0.000125,0.026875,0.009944335312,0.000125
20408,-3.069544618e-15,-1,3.252606517e-16,-7.349958277e-05,7.349958277e-05,20408,20008,19608,0.027125,0.01044849958,0.000125,0.027125,0.01019641745,0.000125,0.027125,0.009944335312,0.000125
20409,-1.563194019e-15,-1,3.252606517e-16,-7.349958277e-05,7.349958277e-05,20409,20009,19609,0.027375,0.01044849958,0.000125,0.027375,0.01019641745,0.000125,0.027375,0.009944335312,0.000125
20410,1.705302566e-15,-1,2.710505431e-16,-7.349958277e-05,7.349958277e-05,20410,20010,19610,0.027625,0.01044849958,0.000125,0.027625,0.01019641745,0.000125,0.027625,0.009944335312,0.000125
20411,1.307398634e-15,-1,2.710505431e-16,-7.349958277e-05,7.349958277e-05,20411,20011,19611,0.027875,0.01044849958,0.000125,0.027875,0.01019641745,0.000125,0.027875,0.009944335312,0.000125
20412,5.826450433e-15,-1,3.252606517e-16,-7.349958277e-05,7.349958277e-05,20412,20012,19612,0.028125,0.01044849958,0.000125,0.028125,0.01019641745,0.000125,0.028125,0.009944335312,0.000125
20413,4.547473509e-16,-1,2.710505431e-16,-7.349958277e-05,7.349958277e-05,20413,20013,19613,0.028375,0.01044849958,0.000125,0.028375,0.01019641745,0.000125,0.028375,0.009944335312,0.000125
20414,-5.826450433e-15,-1,2.168404345e-16,-7.349958277e-05,7.349958277e-05,20414,20014,19614,0.028625,0.01044849958,0.000125,0.028625,0.01019641745,0.000125,0.028625,0.009944335312,0.000125
20415,4.831690603e-16,-1,2.168404345e-16,-7.349958277e-05,7.349958277e-05,20415,20015,19615,0.028875,0.01044849958,0.000125,0.028875,0.01019641745,0.000125,0.028875,0.009944335312,0.000125
20416,1.705302566e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20416,20016,19616,0.029125,0.01044849958,0.000125,0.029125,0.01019641745,0.000125,0.029125,0.009944335312,0.000125
20417,1.961097951e-15,-1,-1.084202172e-16,-7.349958277e-05,7.349958277e-05,20417,20017,19617,0.029375,0.01044849958,0.000125,0.029375,0.01019641745,0.000125,0.029375,0.009944335312,0.000125
