cellI,x,y,z,sigma_xx,sigma_xy,sigma_xz,sigma_yy,sigma_yz,sigma_zz
0,0.000125,0.000125,0.000125,5.224268544,-0.03671594675,-0,5.209711945,-0,5.224236503
1,0.000375,0.000125,0.000125,6.639715513,-0.08045413213,-0,6.603758973,-0,6.639639938
2,0.000625,0.000125,0.000125,8.10291346,-0.1513249702,-0,8.062380749,-0,8.102692372
3,0.000875,0.000125,0.000125,9.601982223,-0.2426133135,-0,9.558676358,-0,9.601553199
4,0.001125,0.000125,0.000125,11.12263821,-0.3518346006,-0,11.07627402,-0,11.12195857
5,0.001375,0.000125,0.000125,12.65126359,-0.4773072637,-0,12.60258424,-0,12.65028059
6,0.001625,0.000125,0.000125,14.17608831,-0.618281372,-0,14.12586049,-0,14.17473992
7,0.001875,0.000125,0.000125,15.68703073,-0.7740246101,-0,15.63528001,-0,15.68525651
8,0.002125,0.000125,0.000125,17.17497014,-0.9436878098,-0,17.12221657,-0,17.17271423
9,0.002375,0.000125,0.000125,18.63231642,-1.126241477,-0,18.57885936,-0,18.62952638
10,0.002625,0.000125,0.000125,20.05258562,-1.32062221,-0,19.99879283,-0,20.04921167
11,0.002875,0.000125,0.000125,21.43064023,-1.525786863,-0,21.37624089,-0,21.42663553
12,0.003125,0.000125,0.000125,22.76209026,-1.740797155,-0,22.706992,-0,22.75741202
13,0.003375,0.000125,0.000125,24.04340256,-1.964701753,-0,23.98791336,-0,24.0380127
14,0.003625,0.000125,0.000125,25.27223247,-2.196538221,-0,25.21601907,-0,25.26609651
15,0.003875,0.000125,0.000125,26.4466524,-2.435301334,-0,26.38974598,-0,26.43973992
16,0.004125,0.000125,0.000125,27.56549093,-2.68000632,-0,27.50802045,-0,27.55777682
17,0.004375,0.000125,0.000125,28.62822495,-2.929727013,-0,28.57023435,-0,28.61968915
18,0.004625,0.000125,0.000125,29.63483183,-3.183607743,-0,29.57631199,-0,29.62545842
19,0.004875,0.000125,0.000125,30.58572524,-3.440849963,-0,30.52662152,-0,30.57550206
20,0.005125,0.000125,0.000125,31.48162897,-3.7006571,-0,31.4220268,-0,31.47054842
21,0.005375,0.000125,0.000125,32.32361671,-3.962268007,-0,32.26362813,-0,32.31167558
22,0.005625,0.000125,0.000125,33.11316689,-4.225015388,-0,33.05248785,-0,33.10036458
23,0.005875,0.000125,0.000125,33.85186088,-4.488318612,-0,33.79008046,-0,33.83819904
24,0.006125,0.000125,0.000125,34.54137412,-4.751640037,-0,34.47817538,-0,34.52685766
25,0.006375,0.000125,0.000125,35.18349737,-5.014467788,-0,35.11867877,-0,35.16813479
26,0.006625,0.000125,0.000125,35.78014177,-5.276324022,-0,35.71352176,-0,35.76394437
27,0.006875,0.000125,0.000125,36.33328179,-5.536775886,-0,36.2646843,-0,36.3162629
28,0.007125,0.000125,0.000125,36.84491817,-5.795437263,-0,36.77419027,-0,36.82709292
29,0.007375,0.000125,0.000125,37.31704808,-6.051963501,-0,37.24410042,-0,37.29843366
