cellI,x,y,z,omega,k,nut
0,0.000125,0.000125,0.000125,99678.53782,7.829108496,7.854357284e-05
1,0.000375,0.000125,0.000125,112324.0388,9.941557212,8.850783248e-05
2,0.000625,0.000125,0.000125,124093.0269,12.13399329,9.77814273e-05
3,0.000875,0.000125,0.000125,135095.737,14.38110589,0.000106451219
4,0.001125,0.000125,0.000125,145408.1257,16.6604354,0.000114577059
5,0.001375,0.000125,0.000125,155086.417,18.95206421,0.0001222032501
6,0.001625,0.000125,0.000125,164174.549,21.23834436,0.0001293644142
7,0.001875,0.000125,0.000125,172708.7707,23.50378362,0.0001360891142
8,0.002125,0.000125,0.000125,180720.3967,25.73495047,0.0001424020251
9,0.002375,0.000125,0.000125,188237.4107,27.92035108,0.0001483251972
10,0.002625,0.000125,0.000125,195285.4439,30.05029506,0.0001538788271
11,0.002875,0.000125,0.000125,201888.3947,32.11675832,0.000159081746
12,0.003125,0.000125,0.000125,208068.8339,34.11324714,0.000163951739
13,0.003375,0.000125,0.000125,213848.271,36.03466431,0.0001685057548
14,0.003625,0.000125,0.000125,219247.317,37.87717402,0.0001727600343
15,0.003875,0.000125,0.000125,224285.7845,39.63806915,0.0001767301893
16,0.004125,0.000125,0.000125,228982.75,41.3156441,0.0001804312513
17,0.004375,0.000125,0.000125,233356.5929,42.90907422,0.0001838777028
18,0.004625,0.000125,0.000125,237425.0154,44.41830112,0.0001870834926
19,0.004875,0.000125,0.000125,241205.0503,45.84392441,0.000190062042
20,0.005125,0.000125,0.000125,244713.0648,47.18710209,0.0001928262478
21,0.005375,0.000125,0.000125,247964.7656,48.44946021,0.0001953884864
22,0.005625,0.000125,0.000125,250975.1996,49.63300966,0.0001977606143
23,0.005875,0.000125,0.000125,253758.7549,50.74007019,0.0001999539689
24,0.006125,0.000125,0.000125,256329.1647,51.77320358,0.0002019793715
25,0.006375,0.000125,0.000125,258699.5172,52.73515546,0.0002038471352
26,0.006625,0.000125,0.000125,260882.2663,53.62880395,0.0002055670733
27,0.006875,0.000125,0.000125,262889.2429,54.45711449,0.0002071485082
28,0.007125,0.000125,0.000125,264731.6685,55.22310068,0.0002086002819
29,0.007375,0.000125,0.000125,266420.1702,55.92979108,0.0002099307685
30,0.007625,0.000125,0.000125,267964.7998,56.58020164,0.0002111478884
31,0.007875,0.000125,0.000125,269375.0531,57.17731276,0.0002122591239
32,0.008125,0.000125,0.000125,270659.889,57.72404982,0.0002132715344
33,0.008375,0.000125,0.000125,271827.7488,58.22326702,0.0002141917714
34,0.008625,0.000125,0.000125,272886.576,58.6777346,0.0002150260942
35,0.008875,0.000125,0.000125,273843.838,59.09012928,0.0002157803868
36,0.009125,0.000125,0.000125,274706.5484,59.4630277,0.0002164601756
37,0.009375,0.000125,0.000125,275481.2889,59.7989016,0.0002170706469
38,0.009625,0.000125,0.000125,276174.2297,60.10011415,0.0002176166626
39,0.009875,0.000125,0.000125,276791.1494,60.36891806,0.000218102776
40,0.010125,0.000125,0.000125,277337.4568,60.60745553,0.0002185332491
41,0.010375,0.000125,0.000125,277818.2112,60.81775933,0.0002189120686
42,0.010625,0.000125,0.000125,278238.1428,61.00175443,0.0002192429616
43,0.010875,0.000125,0.000125,278601.6702,61.16126022,0.0002195294098
44,0.011125,0.000125,0.000125,278912.9194,61.2979933,0.0002197746645
45,0.011375,0.000125,0.000125,279175.7409,61.41357071,0.0002199817596
46,0.011625,0.000125,0.000125,279393.7259,61.5095136,0.0002201535249
47,0.011875,0.000125,0.000125,279570.2228,61.58725099,0.000220292599
48,0.012125,0.000125,0.000125,279708.3522,61.64812377,0.0002204014406
49,0.012375,0.000125,0.000125,279811.0207,61.69338867,0.0002204823402
50,0.012625,0.000125,0.000125,279880.9355,61.72422246,0.0002205374309
51,0.012875,0.000125,0.000125,279920.617,61.74172623,0.0002205686987
52,0.013125,0.000125,0.000125,279932.4122,61.74692964,0.0002205779929
53,0.013375,0.000125,0.000125,279918.5056,61.74079481,0.000220567035
54,0.013625,0.000125,0.000125,279880.9302,61.72422011,0.0002205374267
55,0.013875,0.000125,0.000125,279821.5774,61.69804388,0.0002204906586
56,0.014125,0.000125,0.000125,279742.207,61.663048,0.0002204281172
57,0.014375,0.000125,0.000125,279644.456,61.61996138,0.0002203510924
58,0.014625,0.000125,0.000125,279529.847,61.56946328,0.0002202607841
59,0.014875,0.000125,0.000125,279399.7966,61.51218662,0.0002201583085
60,0.015125,0.000125,0.000125,279255.6236,61.44872124,0.0002200447047
61,0.015375,0.000125,0.000125,279098.5566,61.37961712,0.0002199209407
62,0.015625,0.000125,0.000125,278929.7407,61.30538728,0.0002197879191
63,0.015875,0.000125,0.000125,278750.2448,61.2265106,0.0002196464819
64,0.016125,0.000125,0.000125,278561.0673,61.14343449,0.000219497416
65,0.016375,0.000125,0.000125,278363.1429,61.05657756,0.0002193414578
66,0.016625,0.000125,0.000125,278157.3478,60.96633211,0.0002191792976
67,0.016875,0.000125,0.000125,277944.5057,60.87306668,0.0002190115848
68,0.017125,0.000125,0.000125,277725.3938,60.7771284,0.0002188389314
69,0.017375,0.000125,0.000125,277500.7475,60.67884547,0.0002186619172
70,0.017625,0.000125,0.000125,277271.2665,60.57852944,0.0002184810933
71,0.017875,0.000125,0.000125,277037.6197,60.47647766,0.000218296987
72,0.018125,0.000125,0.000125,276800.451,60.37297557,0.0002181101055
73,0.018375,0.000125,0.000125,276560.3852,60.26829939,0.000217920941
74,0.018625,0.000125,0.000125,276318.0363,60.16271988,0.0002177299777
75,0.018875,0.000125,0.000125,276074.0159,60.05650572,0.0002175376973
76,0.019125,0.000125,0.000125,275828.9391,59.94992615,0.0002173445845
77,0.019375,0.000125,0.000125,275583.4315,59.84325416,0.0002171511322
78,0.019625,0.000125,0.000125,275338.1398,59.73677084,0.00021695785
79,0.019875,0.000125,0.000125,275093.7434,59.63077045,0.0002167652733
80,0.020125,0.000125,0.000125,274850.9675,59.52556613,0.0002165739734
81,0.020375,0.000125,0.000125,274610.5991,59.42149659,0.0002163845707
82,0.020625,0.000125,0.000125,274373.5055,59.31893412,0.0002161977484
83,0.020875,0.000125,0.000125,274140.6564,59.21829394,0.0002160142706
84,0.021125,0.000125,0.000125,273913.1548,59.12004755,0.0002158350065
85,0.021375,0.000125,0.000125,273692.2789,59.02474051,0.0002156609633
86,0.021625,0.000125,0.000125,273479.5256,58.93301105,0.0002154933204
87,0.021875,0.000125,0.000125,273276.6696,58.84561526,0.0002153334763
88,0.022125,0.000125,0.000125,273085.7352,58.76341489,0.0002151830261
89,0.022375,0.000125,0.000125,272900.3571,58.68366115,0.0002150369526
90,0.022625,0.000125,0.000125,272709.2077,58.60148129,0.0002148863318
91,0.022875,0.000125,0.000125,272511.0627,58.51635459,0.0002147301985
92,0.023125,0.000125,0.000125,272306.4119,58.42849788,0.000214568939
93,0.023375,0.000125,0.000125,272093.1522,58.33701553,0.0002144008956
94,0.023625,0.000125,0.000125,271866.8325,58.24000912,0.000214222561
95,0.023875,0.000125,0.000125,271618.6756,58.13373537,0.0002140270187
96,0.024125,0.000125,0.000125,271329.8703,58.01017587,0.0002137994457
97,0.024375,0.000125,0.000125,270969.5278,57.8561946,0.0002135155014
98,0.024625,0.000125,0.000125,270427.8704,57.62511844,0.0002130886818
99,0.024875,0.000125,0.000125,269669.549,57.302386,0.0002124911256
100,0.000125,0.000375,0.000125,3889.908556,6.023144976,0.001548402717
101,0.000375,0.000375,0.000125,5202.545391,6.065247834,0.001165823146
102,0.000625,0.000375,0.000125,6407.16303,6.120772776,0.0009553015504
103,0.000875,0.000375,0.000125,7551.32959,6.188021251,0.0008194611528
104,0.001125,0.000375,0.000125,8660.871015,6.266001437,0.0007234839805
105,0.001375,0.000375,0.000125,9750.390654,6.354003746,0.0006516665816
106,0.001625,0.000375,0.000125,10828.81002,6.451461104,0.0005957682419
107,0.001875,0.000375,0.000125,11902.10523,6.557917144,0.000550987999
