cellI,x,y,z,S,omega,k,nut
36099,0.15,0.000125,0.000125,6.25e-08,237234.1506,44.34691482,0.0001869330984
36199,0.15,0.000375,0.000125,6.25e-08,107944.7437,69.67985113,0.0006455140727
36299,0.15,0.000625,0.000125,6.25e-08,75051.8381,67.96914198,0.0009056292784
36399,0.15,0.000875,0.000125,6.25e-08,56963.82129,59.348771,0.001041867797
36499,0.15,0.001125,0.000125,6.25e-08,42253.79733,47.13896428,0.001115614862
36599,0.15,0.001375,0.000125,6.25e-08,30286.75576,35.58509857,0.001174939266
36699,0.15,0.001625,0.000125,6.25e-08,21580.41567,26.87509496,0.001245346492
36799,0.15,0.001875,0.000125,6.25e-08,15663.77835,20.86256196,0.001331898441
36899,0.15,0.002125,0.000125,6.25e-08,11652.54371,16.65671029,0.001429448429
36999,0.15,0.002375,0.000125,6.25e-08,8858.434659,13.58338206,0.00153338401
37099,0.15,0.002625,0.000125,6.25e-08,6870.195184,11.28611225,0.001642764427
37199,0.15,0.002875,0.000125,6.25e-08,5448.737876,9.578875154,0.001757998893
37299,0.15,0.003125,0.000125,6.25e-08,4440.018455,8.337235871,0.001877748022
37399,0.15,0.003375,0.000125,6.25e-08,3732.268421,7.455910642,0.001997688751
37499,0.15,0.003625,0.000125,6.25e-08,3241.295976,6.843578454,0.00211137104
37599,0.15,0.003875,0.000125,6.25e-08,2904.668781,6.425928224,0.002212275722
37699,0.15,0.004125,0.000125,6.25e-08,2677.769496,6.146913475,0.002295534954
37799,0.15,0.004375,0.000125,6.25e-08,2529.981187,5.966962969,0.002358500925
37899,0.15,0.004625,0.000125,6.25e-08,2441.298465,5.85989291,0.002400318107
37999,0.15,0.004875,0.000125,6.25e-08,2399.754236,5.809981924,0.002421073723
38099,0.15,0.005125,0.000125,6.25e-08,2399.812532,5.810104904,0.002421066156
38199,0.15,0.005375,0.000125,6.25e-08,2441.484709,5.860289336,0.002400297374
38299,0.15,0.005625,0.000125,6.25e-08,2530.327529,5.967704974,0.002358471346
38399,0.15,0.005875,0.000125,6.25e-08,2678.333696,6.148131304,0.002295506087
38499,0.15,0.006125,0.000125,6.25e-08,2905.539999,6.427824197,0.002212264914
38599,0.15,0.006375,0.000125,6.25e-08,3242.600891,6.846443097,0.002111404804
38699,0.15,0.006625,0.000125,6.25e-08,3734.174048,7.460134275,0.001997800365
38799,0.15,0.006875,0.000125,6.25e-08,4442.725734,8.343304729,0.001877969794
38899,0.15,0.007125,0.000125,6.25e-08,5452.463756,9.587345998,0.001758351165
38999,0.15,0.007375,0.000125,6.25e-08,6875.128716,11.29755348,0.00164324974
39099,0.15,0.007625,0.000125,6.25e-08,8864.757128,13.59841357,0.001533986027
39199,0.15,0.007875,0.000125,6.25e-08,11660.44393,16.67610137,0.001430142923
39299,0.15,0.008125,0.000125,6.25e-08,15673.42664,20.88736929,0.001332661311
39399,0.15,0.008375,0.000125,6.25e-08,21591.56053,26.90632473,0.001246150073
39499,0.15,0.008625,0.000125,6.25e-08,30297.61791,35.62200528,0.001175736171
39599,0.15,0.008875,0.000125,6.25e-08,42260.44987,47.17668714,0.001116331872
39699,0.15,0.009125,0.000125,6.25e-08,56962.93738,59.37965382,0.00104242612
39799,0.15,0.009375,0.000125,6.25e-08,75044.54278,67.98825081,0.0009059719506
39899,0.15,0.009625,0.000125,6.25e-08,107934.7721,69.68581283,0.0006456289431
39999,0.15,0.009875,0.000125,6.25e-08,237231.7005,44.34599894,0.0001869311684
