cellI,x,y,z,S,omega,k,nut
20000,0.025,0.010125,0.000125,6.25e-08,551888.6719,131.2765554,0.0002378678203
20400,0.025,0.010375,0.000125,6.25e-08,511390.9874,14.01019675,2.739625277e-05
20800,0.025,0.010625,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
21200,0.025,0.010875,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
21600,0.025,0.011125,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
22000,0.025,0.011375,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
22400,0.025,0.011625,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
22800,0.025,0.011875,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
23200,0.025,0.012125,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
23600,0.025,0.012375,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
24000,0.025,0.012625,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
24400,0.025,0.012875,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
24800,0.025,0.013125,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
25200,0.025,0.013375,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
25600,0.025,0.013625,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
26000,0.025,0.013875,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
26400,0.025,0.014125,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
26800,0.025,0.014375,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27200,0.025,0.014625,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27600,0.025,0.014875,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27600,0.025125,0.015,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27601,0.025375,0.015,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27602,0.025625,0.015,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27603,0.025875,0.015,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27604,0.026125,0.015,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27605,0.026375,0.015,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27606,0.026625,0.015,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27607,0.026875,0.015,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27608,0.027125,0.015,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27609,0.027375,0.015,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27610,0.027625,0.015,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27611,0.027875,0.015,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
27612,0.028125,0.015,0.000125,6.25e-08,726942.643,2.220446049e-16,2.220446049e-16
