cellI,x,y,z,S,omega,k,nut
0,0.000125,0,0.000125,6.25e-08,99678.53782,7.12568397,9.420189198e-06
1,0.000375,0,0.000125,6.25e-08,112324.0388,8.686903391,1.055896635e-05
2,0.000625,0,0.000125,6.25e-08,124093.0269,10.234617,1.160603558e-05
3,0.000875,0,0.000125,6.25e-08,135095.737,11.75810571,1.257507457e-05
4,0.001125,0,0.000125,6.25e-08,145408.1257,13.24865675,1.347552206e-05
5,0.001375,0,0.000125,6.25e-08,155086.417,14.6992666,1.431433118e-05
6,0.001625,0,0.000125,6.25e-08,164174.549,16.10435867,1.509688069e-05
7,0.001875,0,0.000125,6.25e-08,172708.7707,17.45961233,1.5827529e-05
8,0.002125,0,0.000125,6.25e-08,180720.3967,18.76181507,1.650994972e-05
9,0.002375,0,0.000125,6.25e-08,188237.4107,20.00871396,1.714733421e-05
10,0.002625,0,0.000125,6.25e-08,195285.4439,21.19887847,1.774252027e-05
11,0.002875,0,0.000125,6.25e-08,201888.3947,22.33157823,1.829807738e-05
12,0.003125,0,0.000125,6.25e-08,208068.8339,23.40667601,1.881636506e-05
13,0.003375,0,0.000125,6.25e-08,213848.271,24.42453373,1.929957372e-05
14,0.003625,0,0.000125,6.25e-08,219247.317,25.38592798,1.974975261e-05
15,0.003875,0,0.000125,6.25e-08,224285.7845,26.29197503,2.016882943e-05
16,0.004125,0,0.000125,6.25e-08,228982.75,27.14406543,2.055862466e-05
17,0.004375,0,0.000125,6.25e-08,233356.5929,27.94380714,2.092086221e-05
18,0.004625,0,0.000125,6.25e-08,237425.0154,28.69297562,2.125717713e-05
19,0.004875,0,0.000125,6.25e-08,241205.0503,29.39347008,2.156912128e-05
20,0.005125,0,0.000125,6.25e-08,244713.0648,30.04727615,2.185816794e-05
21,0.005375,0,0.000125,6.25e-08,247964.7656,30.65643446,2.212571579e-05
22,0.005625,0,0.000125,6.25e-08,250975.1996,31.2230134,2.237309197e-05
23,0.005875,0,0.000125,6.25e-08,253758.7549,31.74908589,2.260155469e-05
24,0.006125,0,0.000125,6.25e-08,256329.1647,32.23671041,2.281229581e-05
25,0.006375,0,0.000125,6.25e-08,258699.5172,32.68791593,2.300644351e-05
26,0.006625,0,0.000125,6.25e-08,260882.2663,33.10468956,2.31850647e-05
27,0.006875,0,0.000125,6.25e-08,262889.2429,33.48896653,2.334916744e-05
28,0.007125,0,0.000125,6.25e-08,264731.6685,33.84262223,2.349970311e-05
29,0.007375,0,0.000125,6.25e-08,266420.1702,34.16746639,2.363756874e-05
30,0.007625,0,0.000125,6.25e-08,267964.7998,34.46523903,2.37636094e-05
31,0.007875,0,0.000125,6.25e-08,269375.0531,34.73760778,2.387862052e-05
32,0.008125,0,0.000125,6.25e-08,270659.889,34.98616612,2.398335014e-05
33,0.008375,0,0.000125,6.25e-08,271827.7488,35.21243235,2.407850098e-05
34,0.008625,0,0.000125,6.25e-08,272886.576,35.41784954,2.416473256e-05
35,0.008875,0,0.000125,6.25e-08,273843.838,35.60378625,2.424266336e-05
36,0.009125,0,0.000125,6.25e-08,274706.5484,35.77153804,2.431287302e-05
37,0.009375,0,0.000125,6.25e-08,275481.2889,35.9223293,2.43759044e-05
38,0.009625,0,0.000125,6.25e-08,276174.2297,36.05731502,2.443226548e-05
39,0.009875,0,0.000125,6.25e-08,276791.1494,36.17758305,2.448243124e-05
40,0.010125,0,0.000125,6.25e-08,277337.4568,36.28415672,2.452684558e-05
41,0.010375,0,0.000125,6.25e-08,277818.2112,36.37799763,2.45659232e-05
42,0.010625,0,0.000125,6.25e-08,278238.1428,36.46000839,2.460005127e-05
43,0.010875,0,0.000125,6.25e-08,278601.6702,36.53103535,2.462959114e-05
44,0.011125,0,0.000125,6.25e-08,278912.9194,36.59187135,2.465487984e-05
45,0.011375,0,0.000125,6.25e-08,279175.7409,36.64325847,2.467623159e-05
46,0.011625,0,0.000125,6.25e-08,279393.7259,36.68589068,2.469393926e-05
47,0.011875,0,0.000125,6.25e-08,279570.2228,36.72041658,2.47082757e-05
48,0.012125,0,0.000125,6.25e-08,279708.3522,36.74744189,2.471949498e-05
49,0.012375,0,0.000125,6.25e-08,279811.0207,36.76753193,2.472783366e-05
50,0.012625,0,0.000125,6.25e-08,279880.9355,36.78121408,2.473351193e-05
51,0.012875,0,0.000125,6.25e-08,279920.617,36.78898014,2.473673468e-05
52,0.013125,0,0.000125,6.25e-08,279932.4122,36.79128864,2.473769262e-05
53,0.013375,0,0.000125,6.25e-08,279918.5056,36.78856691,2.47365632e-05
54,0.013625,0,0.000125,6.25e-08,279880.9302,36.78121304,2.473351149e-05
55,0.013875,0,0.000125,6.25e-08,279821.5774,36.76959778,2.472869105e-05
56,0.014125,0,0.000125,6.25e-08,279742.207,36.7540663,2.472224469e-05
57,0.014375,0,0.000125,6.25e-08,279644.456,36.73493994,2.471430521e-05
58,0.014625,0,0.000125,6.25e-08,279529.847,36.71251775,2.470499614e-05
59,0.014875,0,0.000125,6.25e-08,279399.7966,36.68707811,2.469443239e-05
60,0.015125,0,0.000125,6.25e-08,279255.6236,36.65888024,2.468272091e-05
61,0.015375,0,0.000125,6.25e-08,279098.5566,36.62816573,2.466996131e-05
62,0.015625,0,0.000125,6.25e-08,278929.7407,36.5951598,2.465624646e-05
63,0.015875,0,0.000125,6.25e-08,278750.2448,36.56007269,2.464166304e-05
64,0.016125,0,0.000125,6.25e-08,278561.0673,36.5231008,2.462629199e-05
65,0.016375,0,0.000125,6.25e-08,278363.1429,36.48442794,2.46102091e-05
66,0.016625,0,0.000125,6.25e-08,278157.3478,36.44422643,2.459348542e-05
67,0.016875,0,0.000125,6.25e-08,277944.5057,36.40265825,2.457618777e-05
68,0.017125,0,0.000125,6.25e-08,277725.3938,36.3598761,2.455837916e-05
69,0.017375,0,0.000125,6.25e-08,277500.7475,36.31602448,2.454011927e-05
