cellI,x,y,z,V,Ux,Uy,Uz
0,0.000125,0.000125,0.000125,1.5625e-11,99.96176461,0.01428809022,0
1,0.000375,0.000125,0.000125,1.5625e-11,99.92387122,0.04112254731,0
2,0.000625,0.000125,0.000125,1.5625e-11,99.85858606,0.05761481221,0
3,0.000875,0.000125,0.000125,1.5625e-11,99.77379926,0.06961546885,0
4,0.001125,0.000125,0.000125,1.5625e-11,99.6798272,0.07921759757,0
5,0.001375,0.000125,0.000125,1.5625e-11,99.57965572,0.08737314807,0
6,0.001625,0.000125,0.000125,1.5625e-11,99.47345746,0.09443896109,0
7,0.001875,0.000125,0.000125,1.5625e-11,99.3615278,0.1006539654,0
8,0.002125,0.000125,0.000125,1.5625e-11,99.24449887,0.1062315626,0
9,0.002375,0.000125,0.000125,1.5625e-11,99.12300273,0.111287124,0
10,0.002625,0.000125,0.000125,1.5625e-11,98.99754726,0.1158857075,0
11,0.002875,0.000125,0.000125,1.5625e-11,98.86854417,0.1200361993,0
12,0.003125,0.000125,0.000125,1.5625e-11,98.73634609,0.1237407391,0
13,0.003375,0.000125,0.000125,1.5625e-11,98.60131413,0.1270387253,0
14,0.003625,0.000125,0.000125,1.5625e-11,98.46376999,0.1299773554,0
15,0.003875,0.000125,0.000125,1.5625e-11,98.32397597,0.1326068877,0
16,0.004125,0.000125,0.000125,1.5625e-11,98.18218758,0.1349567699,0
17,0.004375,0.000125,0.000125,1.5625e-11,98.03865674,0.1370419529,0
18,0.004625,0.000125,0.000125,1.5625e-11,97.89361681,0.1388741304,0
19,0.004875,0.000125,0.000125,1.5625e-11,97.7472736,0.1404698001,0
20,0.005125,0.000125,0.000125,1.5625e-11,97.59981528,0.1418552916,0
21,0.005375,0.000125,0.000125,1.5625e-11,97.45143114,0.1430483548,0
22,0.005625,0.000125,0.000125,1.5625e-11,97.30229221,0.1440398906,0
23,0.005875,0.000125,0.000125,1.5625e-11,97.15253771,0.1448218789,0
24,0.006125,0.000125,0.000125,1.5625e-11,97.00229544,0.1454020716,0
25,0.006375,0.000125,0.000125,1.5625e-11,96.85169494,0.1457978097,0
26,0.006625,0.000125,0.000125,1.5625e-11,96.70086254,0.1460253623,0
27,0.006875,0.000125,0.000125,1.5625e-11,96.54991402,0.1460976623,0
28,0.007125,0.000125,0.000125,1.5625e-11,96.39895343,0.1460264447,0
29,0.007375,0.000125,0.000125,1.5625e-11,96.24807649,0.1458227625,0
30,0.007625,0.000125,0.000125,1.5625e-11,96.09737743,0.1454972658,0
31,0.007875,0.000125,0.000125,1.5625e-11,95.94694939,0.1450609243,0
32,0.008125,0.000125,0.000125,1.5625e-11,95.79687585,0.144523267,0
33,0.008375,0.000125,0.000125,1.5625e-11,95.64722691,0.1438913925,0
34,0.008625,0.000125,0.000125,1.5625e-11,95.49806124,0.1431752588,0
35,0.008875,0.000125,0.000125,1.5625e-11,95.34943133,0.1423830166,0
36,0.009125,0.000125,0.000125,1.5625e-11,95.20139069,0.1415175751,0
37,0.009375,0.000125,0.000125,1.5625e-11,95.05398962,0.1405834258,0
38,0.009625,0.000125,0.000125,1.5625e-11,94.90726742,0.1395855428,0
39,0.009875,0.000125,0.000125,1.5625e-11,94.76125631,0.1385290562,0
40,0.010125,0.000125,0.000125,1.5625e-11,94.61598839,0.1374202602,0
41,0.010375,0.000125,0.000125,1.5625e-11,94.47149609,0.1362659631,0
42,0.010625,0.000125,0.000125,1.5625e-11,94.3278095,0.1350724095,0
43,0.010875,0.000125,0.000125,1.5625e-11,94.18495513,0.1338449019,0
44,0.011125,0.000125,0.000125,1.5625e-11,94.04295655,0.1325879959,0
45,0.011375,0.000125,0.000125,1.5625e-11,93.90183481,0.131305837,0
46,0.011625,0.000125,0.000125,1.5625e-11,93.76160888,0.1300012057,0
47,0.011875,0.000125,0.000125,1.5625e-11,93.62229641,0.1286781696,0
48,0.012125,0.000125,0.000125,1.5625e-11,93.48391273,0.1273409365,0
49,0.012375,0.000125,0.000125,1.5625e-11,93.34647084,0.1259906607,0
