cellI,x,y,z,S,Ux,Uy,Uz
36099,0.15,0.000125,0.000125,6.25e-08,71.20048829,-0.041477708,0
36199,0.15,0.000375,0.000125,6.25e-08,81.01867885,-0.08330231133,0
36299,0.15,0.000625,0.000125,6.25e-08,87.00705178,-0.1169137089,0
36399,0.15,0.000875,0.000125,6.25e-08,91.8496803,-0.1158829568,0
36499,0.15,0.001125,0.000125,6.25e-08,95.79551963,-0.09521549593,0
36599,0.15,0.001375,0.000125,6.25e-08,98.83376218,-0.06699951011,0
36699,0.15,0.001625,0.000125,6.25e-08,101.0432959,-0.04234491287,0
36799,0.15,0.001875,0.000125,6.25e-08,102.6080342,-0.02473860114,0
36899,0.15,0.002125,0.000125,6.25e-08,103.7228925,-0.01338516823,0
36999,0.15,0.002375,0.000125,6.25e-08,104.5341726,-0.00620042462,0
37099,0.15,0.002625,0.000125,6.25e-08,105.135828,-0.001623228003,0
37199,0.15,0.002875,0.000125,6.25e-08,105.5863724,0.001320005698,0
37299,0.15,0.003125,0.000125,6.25e-08,105.9242816,0.003138639949,0
37399,0.15,0.003375,0.000125,6.25e-08,106.1769047,0.004123198242,0
37499,0.15,0.003625,0.000125,6.25e-08,106.3646035,0.004457061417,0
37599,0.15,0.003875,0.000125,6.25e-08,106.502603,0.004271727802,0
37699,0.15,0.004125,0.000125,6.25e-08,106.602027,0.003692933259,0
37799,0.15,0.004375,0.000125,6.25e-08,106.6707016,0.002796495406,0
37899,0.15,0.004625,0.000125,6.25e-08,106.7138662,0.001731889371,0
37999,0.15,0.004875,0.000125,6.25e-08,106.7344009,0.0004674873874,0
38099,0.15,0.005125,0.000125,6.25e-08,106.7343461,-0.0004046674199,0
38199,0.15,0.005375,0.000125,6.25e-08,106.7137007,-0.001662943655,0
38299,0.15,0.005625,0.000125,6.25e-08,106.6704117,-0.002726775013,0
38399,0.15,0.005875,0.000125,6.25e-08,106.6015903,-0.003620739406,0
38499,0.15,0.006125,0.000125,6.25e-08,106.5019865,-0.00419672179,0
38599,0.15,0.006375,0.000125,6.25e-08,106.3637619,-0.004378722261,0
38699,0.15,0.006625,0.000125,6.25e-08,106.1757791,-0.004040382512,0
38799,0.15,0.006875,0.000125,6.25e-08,105.9228,-0.00305062864,0
38899,0.15,0.007125,0.000125,6.25e-08,105.5844513,-0.001225524105,0
38999,0.15,0.007375,0.000125,6.25e-08,105.1333736,0.00172560404,0
39099,0.15,0.007625,0.000125,6.25e-08,104.5310774,0.006312804071,0
39199,0.15,0.007875,0.000125,6.25e-08,103.7190297,0.01351025468,0
39299,0.15,0.008125,0.000125,6.25e-08,102.6032681,0.02487910893,0
39399,0.15,0.008375,0.000125,6.25e-08,101.037551,0.04249930665,0
39499,0.15,0.008625,0.000125,6.25e-08,98.82718602,0.06715788981,0
39599,0.15,0.008875,0.000125,6.25e-08,95.78862834,0.09535440243,0
39699,0.15,0.009125,0.000125,6.25e-08,91.84322208,0.1159879836,0
39799,0.15,0.009375,0.000125,6.25e-08,87.0016107,0.1169747001,0
39899,0.15,0.009625,0.000125,6.25e-08,81.01439582,0.08332991521,0
39999,0.15,0.009875,0.000125,6.25e-08,71.19752642,0.04148123107,0
