# Residuals       
# Time            	Ux                	Uy                	p                 	k                 	omega             
0                 	N/A	N/A	N/A	N/A
1                 	1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.2866196422e-02
2                 	5.1979832328e-01	6.5983347193e-01	2.6705291070e-02	1.4899825062e-01	3.1295124511e-03
3                 	3.8775279234e-01	4.3256348696e-01	4.6658357101e-02	8.0575852903e-02	1.0622282155e-03
4                 	2.0435343063e-01	3.6085766412e-01	1.2721255210e-01	6.5660372946e-02	9.3025751736e-04
5                 	1.2470670842e-01	5.0304208586e-01	4.9909357932e-02	5.2093269991e-02	7.3613021108e-04
6                 	1.2789305111e-01	4.4076095242e-01	4.4510073778e-02	4.8405269023e-02	6.3929877918e-04
7                 	1.1018426812e-01	4.6163184354e-01	3.9557642687e-02	4.3742201649e-02	7.3132902603e-04
8                 	1.2320750541e-01	4.4987607053e-01	4.2014565152e-02	3.5780084280e-02	5.3225269103e-04
9                 	1.1164279984e-01	4.1519388728e-01	3.9574426822e-02	3.1768407978e-02	5.4475732900e-04
10                	1.0444274542e-01	4.2183641492e-01	4.2036941063e-02	3.1432662322e-02	6.8210424447e-04
11                	1.0066746509e-01	3.8668436881e-01	4.3128338733e-02	2.9213171309e-02	6.5971739840e-04
12                	9.9637791134e-02	4.0696803607e-01	6.2114354604e-02	3.2871539843e-02	7.2222984997e-04
13                	8.1096084832e-02	3.6900827381e-01	6.0205544980e-02	3.2523951861e-02	6.1808923086e-04
14                	9.2025151153e-02	3.7975305651e-01	1.6134816287e-01	3.6829823852e-02	6.8627526414e-04
15                	6.9287129081e-02	3.3405818750e-01	7.4304937098e-02	3.5125666103e-02	5.0432151095e-04
16                	7.7865216287e-02	3.3479283547e-01	7.3477847927e-02	3.6876144050e-02	4.9821673758e-04
17                	6.6824506557e-02	3.3851153878e-01	5.4628633041e-02	3.5736028446e-02	3.8097129426e-04
18                	6.4560204803e-02	3.2299775219e-01	5.7016114131e-02	3.5684036844e-02	3.5249367182e-04
19                	5.5910611133e-02	3.4140044993e-01	4.8923204647e-02	3.5526991608e-02	3.1264451922e-04
20                	4.7192622480e-02	3.3989440144e-01	5.2757887897e-02	3.4543887924e-02	2.7361521944e-04
21                	4.2072830470e-02	3.7810487854e-01	5.4249521146e-02	3.4033882870e-02	2.4460969744e-04
22                	3.8124626753e-02	3.7492989306e-01	6.2487458303e-02	3.3544638488e-02	2.3378698409e-04
23                	3.4632348174e-02	3.5939995910e-01	8.1695025442e-02	3.3256146573e-02	2.1789747639e-04
24                	3.0780283247e-02	3.1051766505e-01	1.1055195648e-01	3.2629818009e-02	2.2753645750e-04
25                	2.9860228655e-02	2.8472116313e-01	9.9444666675e-02	3.2539732766e-02	2.1608232591e-04
26                	2.5024989148e-02	2.3916144686e-01	7.7461091209e-02	3.1130387093e-02	2.3787654526e-04
27                	2.4746814149e-02	2.3335021027e-01	7.5344007760e-02	3.0601630176e-02	2.3915442026e-04
28                	2.2946153110e-02	2.1585956089e-01	6.7901222910e-02	2.8221482440e-02	2.3094607895e-04
29                	2.1307370580e-02	2.2801543912e-01	7.2257852410e-02	2.7071888654e-02	2.1216519123e-04
30                	2.0156866658e-02	2.3882236652e-01	7.2597759116e-02	2.5677971010e-02	2.1412365076e-04
31                	1.7820538151e-02	2.2656661855e-01	8.1764106956e-02	2.4538199359e-02	1.9694296126e-04
32                	1.6726712703e-02	2.1882692704e-01	9.1469106926e-02	2.3740896097e-02	1.9264248266e-04
33                	1.5943118328e-02	2.0203507898e-01	1.0542713506e-01	2.2882496004e-02	1.7852529765e-04
34                	1.4588353314e-02	1.9604563153e-01	9.1792585997e-02	2.2683658689e-02	1.7239943261e-04
35                	1.3177974290e-02	1.8010766443e-01	8.0912711265e-02	2.2454969496e-02	1.6427374420e-04
36                	1.2389732924e-02	1.8122411236e-01	7.8277466344e-02	2.2117689705e-02	1.5892756144e-04
37                	1.1110551822e-02	1.7949996505e-01	7.3894484037e-02	2.2034215407e-02	1.5407834181e-04
38                	1.1077775604e-02	1.8977940518e-01	7.3454957129e-02	2.1658908758e-02	1.4063872760e-04
39                	1.0592470224e-02	2.0498484266e-01	7.2105639165e-02	2.1558261937e-02	1.2768184459e-04
40                	1.0033984462e-02	2.1110430095e-01	7.2970683514e-02	2.1420969230e-02	1.1631208075e-04
41                	9.4913595112e-03	2.2521209359e-01	7.4251454742e-02	2.1588654607e-02	1.0545772077e-04
42                	8.7474166980e-03	2.0174410088e-01	7.5526956186e-02	2.1809562666e-02	9.3367499357e-05
43                	8.2262357938e-03	1.9574999917e-01	8.1298309703e-02	2.2177113339e-02	9.1391768735e-05
44                	7.9457907862e-03	1.7599493195e-01	9.0545051627e-02	2.2216276865e-02	9.5630554159e-05
45                	7.2402234870e-03	1.6937278848e-01	1.0447617642e-01	2.2158209793e-02	9.5217738326e-05
46                	7.0222147203e-03	1.6067290694e-01	9.7371448005e-02	2.2237774137e-02	9.6556274880e-05
47                	6.5608358482e-03	1.5432078427e-01	9.7402668392e-02	2.2183188003e-02	9.0416135176e-05
48                	6.3088626858e-03	1.4907873668e-01	9.5849752655e-02	2.2026518823e-02	8.5517286958e-05
49                	6.0793786485e-03	1.4748981364e-01	9.8058782810e-02	2.1991461583e-02	7.5386963616e-05
50                	5.9255776535e-03	1.4814782641e-01	9.9934786405e-02	2.2031062060e-02	6.6945415126e-05
51                	5.6752466068e-03	1.3994349420e-01	9.4779644631e-02	2.1928098587e-02	6.1831888415e-05
52                	5.3689958521e-03	1.4101423044e-01	8.5462316465e-02	2.2181513246e-02	6.5248601707e-05
53                	5.1005972337e-03	1.3625909037e-01	8.0039056738e-02	2.2765454020e-02	6.8617263590e-05
54                	4.8560146728e-03	1.3960453776e-01	7.6556294228e-02	2.3196685414e-02	7.2802662883e-05
