cellI,x,y,z,sigma_xx,sigma_xy,sigma_xz,sigma_yy,sigma_yz,sigma_zz
0,0.000125,0.000125,0.000125,5.224268543,-0.03671593945,-0,5.209711946,-0,5.224236503
1,0.000375,0.000125,0.000125,6.639715511,-0.08045413123,-0,6.603758976,-0,6.639639936
2,0.000625,0.000125,0.000125,8.102913452,-0.1513249604,-0,8.062380765,-0,8.102692363
3,0.000875,0.000125,0.000125,9.601982213,-0.242613371,-0,9.558676378,-0,9.601553189
4,0.001125,0.000125,0.000125,11.12263821,-0.3518346443,-0,11.07627406,-0,11.12195856
5,0.001375,0.000125,0.000125,12.65126357,-0.4773071933,-0,12.60258427,-0,12.65028057
6,0.001625,0.000125,0.000125,14.1760883,-0.618281359,-0,14.12586054,-0,14.1747399
7,0.001875,0.000125,0.000125,15.6870307,-0.7740245529,-0,15.63528007,-0,15.68525648
8,0.002125,0.000125,0.000125,17.17497011,-0.9436878186,-0,17.12221667,-0,17.1727142
9,0.002375,0.000125,0.000125,18.63231639,-1.126241416,-0,18.57885947,-0,18.62952636
10,0.002625,0.000125,0.000125,20.05258559,-1.320622183,-0,19.99879298,-0,20.04921165
11,0.002875,0.000125,0.000125,21.4306402,-1.525786874,-0,21.37624108,-0,21.4266355
12,0.003125,0.000125,0.000125,22.76209023,-1.740797048,-0,22.70699222,-0,22.75741199
13,0.003375,0.000125,0.000125,24.04340254,-1.964701643,-0,23.98791363,-0,24.03801268
14,0.003625,0.000125,0.000125,25.27223244,-2.196538083,-0,25.2160194,-0,25.26609648
15,0.003875,0.000125,0.000125,26.44665238,-2.43530115,-0,26.38974639,-0,26.43973991
16,0.004125,0.000125,0.000125,27.56549091,-2.680006177,-0,27.50802093,-0,27.55777682
17,0.004375,0.000125,0.000125,28.62822494,-2.929726899,-0,28.57023492,-0,28.61968916
18,0.004625,0.000125,0.000125,29.63483185,-3.183607616,-0,29.57631267,-0,29.62545844
19,0.004875,0.000125,0.000125,30.58572527,-3.440849896,-0,30.52662235,-0,30.5755021
20,0.005125,0.000125,0.000125,31.48162903,-3.700656928,-0,31.42202772,-0,31.47054851
21,0.005375,0.000125,0.000125,32.32361681,-3.962267775,-0,32.26362923,-0,32.31167571
22,0.005625,0.000125,0.000125,33.11316703,-4.225015129,-0,33.05248915,-0,33.10036476
23,0.005875,0.000125,0.000125,33.85186104,-4.488318325,-0,33.79008204,-0,33.83819924
24,0.006125,0.000125,0.000125,34.54137432,-4.751639693,-0,34.47817726,-0,34.52685792
25,0.006375,0.000125,0.000125,35.18349761,-5.014467355,-0,35.118681,-0,35.16813511
26,0.006625,0.000125,0.000125,35.78014208,-5.2763235,-0,35.7135244,-0,35.76394476
27,0.006875,0.000125,0.000125,36.33328217,-5.536775293,-0,36.26468741,-0,36.31626338
28,0.007125,0.000125,0.000125,36.84491865,-5.795436556,-0,36.77419392,-0,36.82709353
29,0.007375,0.000125,0.000125,37.31704869,-6.05196268,-0,37.24410466,-0,37.29843443
30,0.007625,0.000125,0.000125,37.75167025,-6.306049396,-0,37.67645336,-0,37.73228633
31,0.007875,0.000125,0.000125,38.1507791,-6.557427557,-0,38.07320767,-0,38.13064662
32,0.008125,0.000125,0.000125,38.51633639,-6.805857327,-0,38.4362956,-0,38.49547692
33,0.008375,0.000125,0.000125,38.85024647,-7.051138512,-0,38.76761692,-0,38.82868158
34,0.008625,0.000125,0.000125,39.15434688,-7.293098267,-0,39.06903691,-0,39.13209829
35,0.008875,0.000125,0.000125,39.43041664,-7.531576615,-0,39.34235009,-0,39.40750695
36,0.009125,0.000125,0.000125,39.68018575,-7.766445575,-0,39.58924889,-0,39.6566385
37,0.009375,0.000125,0.000125,39.90531232,-7.997608538,-0,39.81136084,-0,39.88115084
38,0.009625,0.000125,0.000125,40.10736522,-8.224987437,-0,40.01027533,-0,40.08261215
39,0.009875,0.000125,0.000125,40.28783097,-8.448522939,-0,40.18752488,-0,40.26250887
40,0.010125,0.000125,0.000125,40.44812527,-8.668171746,-0,40.3445621,-0,40.42225721
41,0.010375,0.000125,0.000125,40.58959622,-8.883902201,-0,40.4827562,-0,40.56320552
42,0.010625,0.000125,0.000125,40.71352287,-9.09569356,-0,40.60339939,-0,40.68663264
43,0.010875,0.000125,0.000125,40.82111481,-9.303536647,-0,40.70771172,-0,40.79374783
44,0.011125,0.000125,0.000125,40.91351277,-9.507433596,-0,40.79684551,-0,40.88569146
45,0.011375,0.000125,0.000125,40.99179439,-9.707394346,-0,40.87188017,-0,40.96354084
46,0.011625,0.000125,0.000125,41.05696837,-9.903441077,-0,40.93384115,-0,41.02830434
47,0.011875,0.000125,0.000125,41.10998381,-10.09560141,-0,40.98368898,-0,41.08093068
48,0.012125,0.000125,0.000125,41.15173758,-10.28390653,-0,41.02231256,-0,41.12231623
49,0.012375,0.000125,0.000125,41.18306501,-10.46839025,-0,41.05055536,-0,41.15329603
50,0.012625,0.000125,0.000125,41.20474791,-10.64909417,-0,41.06920778,-0,41.17465191
51,0.012875,0.000125,0.000125,41.21751758,-10.82606454,-0,41.07900993,-0,41.18711527
52,0.013125,0.000125,0.000125,41.22205795,-10.99935286,-0,41.08065387,-0,41.19137001
53,0.013375,0.000125,0.000125,41.2190086,-11.16901359,-0,41.07478575,-0,41.18805537
54,0.013625,0.000125,0.000125,41.20896625,-11.33510159,-0,41.06201025,-0,41.17776766
55,0.013875,0.000125,0.000125,41.1924876,-11.49767206,-0,41.0428919,-0,41.16106334
56,0.014125,0.000125,0.000125,41.17009087,-11.65678244,-0,41.01795943,-0,41.13846046
57,0.014375,0.000125,0.000125,41.14225944,-11.81249067,-0,40.98770556,-0,41.11044224
58,0.014625,0.000125,0.000125,41.10944346,-11.96485143,-0,40.9525902,-0,41.07745891
59,0.014875,0.000125,0.000125,41.07206139,-12.11391769,-0,40.91304372,-0,41.03992946
60,0.015125,0.000125,0.000125,41.03050301,-12.25974358,-0,40.86946774,-0,40.99824459
61,0.015375,0.000125,0.000125,40.98513166,-12.40238424,-0,40.82223723,-0,40.95276865
62,0.015625,0.000125,0.000125,40.93628551,-12.54189411,-0,40.77170404,-0,40.90384089
63,0.015875,0.000125,0.000125,40.88427891,-12.6783264,-0,40.71819968,-0,40.85177691
64,0.016125,0.000125,0.000125,40.82940408,-12.81173264,-0,40.6620373,-0,40.79687058
65,0.016375,0.000125,0.000125,40.77193278,-12.94216256,-0,40.60351364,-0,40.73939568
66,0.016625,0.000125,0.000125,40.7121179,-13.06966374,-0,40.54291107,-0,40.67960753
67,0.016875,0.000125,0.000125,40.65019446,-13.19428159,-0,40.48050064,-0,40.61774407
68,0.017125,0.000125,0.000125,40.58638166,-13.31605908,-0,40.41654287,-0,40.55402793
69,0.017375,0.000125,0.000125,40.52088121,-13.43503806,-0,40.35129599,-0,40.48866488
70,0.017625,0.000125,0.000125,40.45388161,-13.55125869,-0,40.28501228,-0,40.42184807
71,0.017875,0.000125,0.000125,40.38556113,-13.66474502,-0,40.21793616,-0,40.35376181
72,0.018125,0.000125,0.000125,40.31609194,-13.77549317,-0,40.15029983,-0,40.28458743
73,0.018375,0.000125,0.000125,40.24564447,-13.88351909,-0,40.08232311,-0,40.2145066
74,0.018625,0.000125,0.000125,40.17437044,-13.98885918,-0,40.01425698,-0,40.14368155
75,0.018875,0.000125,0.000125,40.10240663,-14.09153157,-0,39.94637966,-0,40.07226051
76,0.019125,0.000125,0.000125,40.02988229,-14.19153469,-0,39.8789853,-0,40.00038825
77,0.019375,0.000125,0.000125,39.95692185,-14.28885352,-0,39.81238686,-0,39.92820907
