cellI,x,y,z,S,omega,k,nut
0,0,0.000125,0.000125,6.25e-08,2450,6,0.002448979592
100,0,0.000375,0.000125,6.25e-08,2450,6,0.002448979592
200,0,0.000625,0.000125,6.25e-08,2450,6,0.002448979592
300,0,0.000875,0.000125,6.25e-08,2450,6,0.002448979592
400,0,0.001125,0.000125,6.25e-08,2450,6,0.002448979592
500,0,0.001375,0.000125,6.25e-08,2450,6,0.002448979592
600,0,0.001625,0.000125,6.25e-08,2450,6,0.002448979592
700,0,0.001875,0.000125,6.25e-08,2450,6,0.002448979592
800,0,0.002125,0.000125,6.25e-08,2450,6,0.002448979592
900,0,0.002375,0.000125,6.25e-08,2450,6,0.002448979592
1000,0,0.002625,0.000125,6.25e-08,2450,6,0.002448979592
1100,0,0.002875,0.000125,6.25e-08,2450,6,0.002448979592
1200,0,0.003125,0.000125,6.25e-08,2450,6,0.002448979592
1300,0,0.003375,0.000125,6.25e-08,2450,6,0.002448979592
1400,0,0.003625,0.000125,6.25e-08,2450,6,0.002448979592
1500,0,0.003875,0.000125,6.25e-08,2450,6,0.002448979592
1600,0,0.004125,0.000125,6.25e-08,2450,6,0.002448979592
1700,0,0.004375,0.000125,6.25e-08,2450,6,0.002448979592
1800,0,0.004625,0.000125,6.25e-08,2450,6,0.002448979592
1900,0,0.004875,0.000125,6.25e-08,2450,6,0.002448979592
2000,0,0.005125,0.000125,6.25e-08,2450,6,0.002448979592
2100,0,0.005375,0.000125,6.25e-08,2450,6,0.002448979592
2200,0,0.005625,0.000125,6.25e-08,2450,6,0.002448979592
2300,0,0.005875,0.000125,6.25e-08,2450,6,0.002448979592
2400,0,0.006125,0.000125,6.25e-08,2450,6,0.002448979592
2500,0,0.006375,0.000125,6.25e-08,2450,6,0.002448979592
2600,0,0.006625,0.000125,6.25e-08,2450,6,0.002448979592
2700,0,0.006875,0.000125,6.25e-08,2450,6,0.002448979592
2800,0,0.007125,0.000125,6.25e-08,2450,6,0.002448979592
2900,0,0.007375,0.000125,6.25e-08,2450,6,0.002448979592
3000,0,0.007625,0.000125,6.25e-08,2450,6,0.002448979592
3100,0,0.007875,0.000125,6.25e-08,2450,6,0.002448979592
3200,0,0.008125,0.000125,6.25e-08,2450,6,0.002448979592
3300,0,0.008375,0.000125,6.25e-08,2450,6,0.002448979592
3400,0,0.008625,0.000125,6.25e-08,2450,6,0.002448979592
3500,0,0.008875,0.000125,6.25e-08,2450,6,0.002448979592
3600,0,0.009125,0.000125,6.25e-08,2450,6,0.002448979592
3700,0,0.009375,0.000125,6.25e-08,2450,6,0.002448979592
3800,0,0.009625,0.000125,6.25e-08,2450,6,0.002448979592
3900,0,0.009875,0.000125,6.25e-08,2450,6,0.002448979592
