cellI,x,y,z,omega,k,nut
0,0.000125,0.000125,0.000125,99678.53782,7.829108496,7.854357284e-05
1,0.000375,0.000125,0.000125,112324.0388,9.941557212,8.850783248e-05
2,0.000625,0.000125,0.000125,124093.0269,12.13399329,9.77814273e-05
3,0.000875,0.000125,0.000125,135095.737,14.38110589,0.000106451219
4,0.001125,0.000125,0.000125,145408.1257,16.66043541,0.0001145770591
5,0.001375,0.000125,0.000125,155086.417,18.95206421,0.0001222032502
6,0.001625,0.000125,0.000125,164174.5491,21.23834437,0.0001293644142
7,0.001875,0.000125,0.000125,172708.7708,23.50378363,0.0001360891142
8,0.002125,0.000125,0.000125,180720.3968,25.73495049,0.0001424020252
9,0.002375,0.000125,0.000125,188237.4108,27.92035111,0.0001483251973
10,0.002625,0.000125,0.000125,195285.4441,30.05029511,0.0001538788272
11,0.002875,0.000125,0.000125,201888.3949,32.11675839,0.0001590817462
12,0.003125,0.000125,0.000125,208068.8342,34.11324722,0.0001639517392
13,0.003375,0.000125,0.000125,213848.2713,36.03466442,0.000168505755
14,0.003625,0.000125,0.000125,219247.3174,37.87717416,0.0001727600347
15,0.003875,0.000125,0.000125,224285.7851,39.63806934,0.0001767301897
16,0.004125,0.000125,0.000125,228982.7506,41.31564433,0.0001804312518
17,0.004375,0.000125,0.000125,233356.5936,42.90907451,0.0001838777034
18,0.004625,0.000125,0.000125,237425.0164,44.41830148,0.0001870834934
19,0.004875,0.000125,0.000125,241205.0515,45.84392486,0.0001900620429
20,0.005125,0.000125,0.000125,244713.0663,47.18710263,0.0001928262489
21,0.005375,0.000125,0.000125,247964.7673,48.44946088,0.0001953884877
22,0.005625,0.000125,0.000125,250975.2017,49.63301047,0.0001977606159
23,0.005875,0.000125,0.000125,253758.7573,50.74007116,0.0001999539708
24,0.006125,0.000125,0.000125,256329.1676,51.77320475,0.0002019793738
25,0.006375,0.000125,0.000125,258699.5206,52.73515686,0.0002038471379
26,0.006625,0.000125,0.000125,260882.2704,53.62880562,0.0002055670765
27,0.006875,0.000125,0.000125,262889.2478,54.45711648,0.0002071485119
28,0.007125,0.000125,0.000125,264731.6742,55.22310305,0.0002086002864
29,0.007375,0.000125,0.000125,266420.1769,55.92979389,0.0002099307738
30,0.007625,0.000125,0.000125,267964.8077,56.58020497,0.0002111478946
31,0.007875,0.000125,0.000125,269375.0624,57.1773167,0.0002122591312
32,0.008125,0.000125,0.000125,270659.8999,57.72405446,0.000213271543
33,0.008375,0.000125,0.000125,271827.7615,58.22327249,0.0002141917815
34,0.008625,0.000125,0.000125,272886.591,58.67774104,0.000215026106
35,0.008875,0.000125,0.000125,273843.8556,59.09013684,0.0002157804006
36,0.009125,0.000125,0.000125,274706.5689,59.46303657,0.0002164601917
37,0.009375,0.000125,0.000125,275481.3129,59.798912,0.0002170706658
38,0.009625,0.000125,0.000125,276174.2577,60.10012635,0.0002176166846
39,0.009875,0.000125,0.000125,276791.1822,60.36893236,0.0002181028018
40,0.010125,0.000125,0.000125,277337.4951,60.60747229,0.0002185332793
41,0.010375,0.000125,0.000125,277818.2561,60.81777897,0.000218912104
42,0.010625,0.000125,0.000125,278238.1952,61.00177745,0.0002192430029
43,0.010875,0.000125,0.000125,278601.7316,61.16128718,0.0002195294582
44,0.011125,0.000125,0.000125,278912.9913,61.29802487,0.0002197747211
45,0.011375,0.000125,0.000125,279175.825,61.4136077,0.0002199818258
46,0.011625,0.000125,0.000125,279393.8243,61.50955693,0.0002201536025
47,0.011875,0.000125,0.000125,279570.338,61.58730174,0.0002202926898
48,0.012125,0.000125,0.000125,279708.487,61.64818319,0.0002204015468
49,0.012375,0.000125,0.000125,279811.1784,61.6934582,0.0002204824645
50,0.012625,0.000125,0.000125,279881.1199,61.7243038,0.0002205375762
51,0.012875,0.000125,0.000125,279920.8327,61.74182139,0.0002205688686
52,0.013125,0.000125,0.000125,279932.6644,61.74704091,0.0002205781917
53,0.013375,0.000125,0.000125,279918.8004,61.74092486,0.0002205672673
54,0.013625,0.000125,0.000125,279881.2747,61.72437208,0.0002205376982
55,0.013875,0.000125,0.000125,279821.98,61.69822142,0.0002204909758
56,0.014125,0.000125,0.000125,279742.6775,61.66325538,0.0002204284879
57,0.014375,0.000125,0.000125,279645.0057,61.62020362,0.0002203515256
58,0.014625,0.000125,0.000125,279530.4894,61.56974628,0.0002202612903
59,0.014875,0.000125,0.000125,279400.5476,61.51251728,0.0002201589002
60,0.015125,0.000125,0.000125,279256.5017,61.44910767,0.0002200453966
61,0.015375,0.000125,0.000125,279099.5834,61.38006877,0.0002199217499
62,0.015625,0.000125,0.000125,278930.9417,61.30591522,0.0002197888655
63,0.015875,0.000125,0.000125,278751.6497,61.22712775,0.0002196475889
64,0.016125,0.000125,0.000125,278562.7109,61.14415598,0.000219498711
65,0.016375,0.000125,0.000125,278365.0657,61.05742105,0.0002193429728
66,0.016625,0.000125,0.000125,278159.5974,60.96731825,0.0002191810702
67,0.016875,0.000125,0.000125,277947.1378,60.87421959,0.0002190136587
68,0.017125,0.000125,0.000125,277728.4733,60.77847623,0.0002188413579
69,0.017375,0.000125,0.000125,277504.3503,60.68042104,0.000218664756
70,0.017625,0.000125,0.000125,277275.4809,60.58037098,0.0002184844141
71,0.017875,0.000125,0.000125,277042.5485,60.47862955,0.0002183008706
72,0.018125,0.000125,0.000125,276806.2143,60.3754896,0.0002181146466
73,0.018375,0.000125,0.000125,276567.1254,60.27123709,0.0002179262521
74,0.018625,0.000125,0.000125,276325.9235,60.16615448,0.0002177361925
75,0.018875,0.000125,0.000125,276083.2503,60.0605234,0.0002175449736
76,0.019125,0.000125,0.000125,275839.7554,59.95462792,0.0002173531072
77,0.019375,0.000125,0.000125,275596.1062,59.84875889,0.0002171611193
78,0.019625,0.000125,0.000125,275352.9997,59.7432189,0.0002169695589
79,0.019875,0.000125,0.000125,275111.1754,59.63832795,0.0002167790089
80,0.020125,0.000125,0.000125,274871.4306,59.53442996,0.0002165900975
81,0.020375,0.000125,0.000125,274634.6385,59.43190048,0.0002164035127
82,0.020625,0.000125,0.000125,274401.7692,59.33115577,0.0002162200191
83,0.020875,0.000125,0.000125,274173.9192,59.23266522,0.0002160404804
84,0.021125,0.000125,0.000125,273952.3515,59.13696872,0.000215865892
85,0.021375,0.000125,0.000125,273738.5398,59.0446954,0.000215697415
86,0.021625,0.000125,0.000125,273534.2239,58.95658749,0.0002155364205
87,0.021875,0.000125,0.000125,273341.4036,58.87349718,0.0002153844841
88,0.022125,0.000125,0.000125,273157.3185,58.79422573,0.0002152394307
89,0.022375,0.000125,0.000125,272967.5041,58.71254304,0.0002150898629
90,0.022625,0.000125,0.000125,272770.8559,58.62797944,0.0002149349103
91,0.022875,0.000125,0.000125,272567.8405,58.54074171,0.0002147749405
92,0.023125,0.000125,0.000125,272357.1291,58.45026564,0.0002146089065
93,0.023375,0.000125,0.000125,272135.4099,58.35513855,0.0002144341987
94,0.023625,0.000125,0.000125,271895.6143,58.25234312,0.0002142452473
95,0.023875,0.000125,0.000125,271624.6531,58.13629669,0.0002140317383
96,0.024125,0.000125,0.000125,271294.5522,57.99507838,0.0002137716291
97,0.024375,0.000125,0.000125,270860.8044,57.80978067,0.0002134298494
98,0.024625,0.000125,0.000125,270155.3669,57.50904996,0.0002128739867
99,0.024875,0.000125,0.000125,269136.9188,57.07626507,0.0002120714814
100,0.000125,0.000375,0.000125,3889.908554,6.023144976,0.001548402717
101,0.000375,0.000375,0.000125,5202.545383,6.065247834,0.001165823148
102,0.000625,0.000375,0.000125,6407.163011,6.120772775,0.0009553015531
103,0.000875,0.000375,0.000125,7551.329555,6.188021249,0.0008194611563
104,0.001125,0.000375,0.000125,8660.870956,6.266001434,0.0007234839851
105,0.001375,0.000375,0.000125,9750.390564,6.354003741,0.000651666587
106,0.001625,0.000375,0.000125,10828.80988,6.451461095,0.0005957682483
107,0.001875,0.000375,0.000125,11902.10504,6.557917129,0.0005509880064
