cellI,x,y,z,S,omega,k,nut
21699,0.15,0.000125,0.000125,6.25e-08,238410.953,44.78797323,0.0001878603842
21799,0.15,0.000375,0.000125,6.25e-08,108659.9029,72.63521988,0.0006684638765
21899,0.15,0.000625,0.000125,6.25e-08,76350.05896,72.1515398,0.0009450096146
21999,0.15,0.000875,0.000125,6.25e-08,58641.51048,63.52347191,0.00108325095
22099,0.15,0.001125,0.000125,6.25e-08,43738.86686,50.17612822,0.001147174854
22199,0.15,0.001375,0.000125,6.25e-08,31139.47578,37.14362396,0.001192814684
22299,0.15,0.001625,0.000125,6.25e-08,21895.41949,27.49406268,0.001255699289
22399,0.15,0.001875,0.000125,6.25e-08,15764.88764,21.21548937,0.001345743138
22499,0.15,0.002125,0.000125,6.25e-08,11757.46274,17.10281251,0.001454634633
22599,0.15,0.002375,0.000125,6.25e-08,9037.254036,14.2024452,0.001571544314
22699,0.15,0.002625,0.000125,6.25e-08,7112.289996,12.02522764,0.00169076734
22799,0.15,0.002875,0.000125,6.25e-08,5717.787685,10.35200626,0.001810491545
22899,0.15,0.003125,0.000125,6.25e-08,4701.922695,9.072558213,0.00192954219
22999,0.15,0.003375,0.000125,6.25e-08,3965.71213,8.111485658,0.002045404556
23099,0.15,0.003625,0.000125,6.25e-08,3437.800227,7.404940719,0.002153976447
23199,0.15,0.003875,0.000125,6.25e-08,3064.677371,6.897187691,0.002250542832
23299,0.15,0.004125,0.000125,6.25e-08,2806.626259,6.542221362,0.002330991289
23399,0.15,0.004375,0.000125,6.25e-08,2635.108076,6.304663417,0.002392563506
23499,0.15,0.004625,0.000125,6.25e-08,2530.668808,6.159374397,0.002433891933
23599,0.15,0.004875,0.000125,6.25e-08,2481.283569,6.090432794,0.002454549279
23699,0.15,0.005125,0.000125,6.25e-08,2481.283567,6.09043279,0.002454549279
23799,0.15,0.005375,0.000125,6.25e-08,2530.668802,6.159374383,0.002433891934
23899,0.15,0.005625,0.000125,6.25e-08,2635.108064,6.304663387,0.002392563506
23999,0.15,0.005875,0.000125,6.25e-08,2806.62624,6.542221311,0.002330991287
24099,0.15,0.006125,0.000125,6.25e-08,3064.677349,6.897187637,0.002250542831
24199,0.15,0.006375,0.000125,6.25e-08,3437.800208,7.404940681,0.002153976448
24299,0.15,0.006625,0.000125,6.25e-08,3965.712131,8.111485677,0.00204540456
24399,0.15,0.006875,0.000125,6.25e-08,4701.922718,9.072558298,0.001929542198
24499,0.15,0.007125,0.000125,6.25e-08,5717.787761,10.35200644,0.001810491552
24599,0.15,0.007375,0.000125,6.25e-08,7112.29011,12.02522785,0.001690767343
24699,0.15,0.007625,0.000125,6.25e-08,9037.254175,14.20244536,0.001571544308
24799,0.15,0.007875,0.000125,6.25e-08,11757.46291,17.1028126,0.00145463462
24899,0.15,0.008125,0.000125,6.25e-08,15764.88792,21.21548955,0.001345743126
24999,0.15,0.008375,0.000125,6.25e-08,21895.42009,27.49406338,0.001255699286
25099,0.15,0.008625,0.000125,6.25e-08,31139.47702,37.14362574,0.001192814694
25199,0.15,0.008875,0.000125,6.25e-08,43738.86885,50.17613122,0.001147174871
25299,0.15,0.009125,0.000125,6.25e-08,58641.51253,63.52347473,0.00108325096
25399,0.15,0.009375,0.000125,6.25e-08,76350.06051,72.15154111,0.0009450096126
25499,0.15,0.009625,0.000125,6.25e-08,108659.904,72.63521978,0.0006684638685
25599,0.15,0.009875,0.000125,6.25e-08,238410.9493,44.78797164,0.0001878603805
