cellI,x,y,z,S,omega,k,nut
0,0.000125,0,0.000125,6.25e-08,99678.53782,7.12568397,9.420189198e-06
1,0.000375,0,0.000125,6.25e-08,112324.0388,8.686903391,1.055896635e-05
2,0.000625,0,0.000125,6.25e-08,124093.0269,10.234617,1.160603558e-05
3,0.000875,0,0.000125,6.25e-08,135095.737,11.75810571,1.257507457e-05
4,0.001125,0,0.000125,6.25e-08,145408.1257,13.24865675,1.347552206e-05
5,0.001375,0,0.000125,6.25e-08,155086.417,14.6992666,1.431433119e-05
6,0.001625,0,0.000125,6.25e-08,164174.5491,16.10435867,1.509688069e-05
7,0.001875,0,0.000125,6.25e-08,172708.7708,17.45961234,1.5827529e-05
8,0.002125,0,0.000125,6.25e-08,180720.3968,18.76181509,1.650994972e-05
9,0.002375,0,0.000125,6.25e-08,188237.4108,20.00871398,1.714733422e-05
10,0.002625,0,0.000125,6.25e-08,195285.4441,21.19887849,1.774252029e-05
11,0.002875,0,0.000125,6.25e-08,201888.3949,22.33157827,1.82980774e-05
12,0.003125,0,0.000125,6.25e-08,208068.8342,23.40667605,1.881636508e-05
13,0.003375,0,0.000125,6.25e-08,213848.2713,24.42453379,1.929957375e-05
14,0.003625,0,0.000125,6.25e-08,219247.3174,25.38592805,1.974975264e-05
15,0.003875,0,0.000125,6.25e-08,224285.7851,26.29197512,2.016882947e-05
16,0.004125,0,0.000125,6.25e-08,228982.7506,27.14406554,2.055862471e-05
17,0.004375,0,0.000125,6.25e-08,233356.5936,27.94380728,2.092086228e-05
18,0.004625,0,0.000125,6.25e-08,237425.0164,28.69297579,2.125717721e-05
19,0.004875,0,0.000125,6.25e-08,241205.0515,29.39347029,2.156912137e-05
20,0.005125,0,0.000125,6.25e-08,244713.0663,30.04727642,2.185816806e-05
21,0.005375,0,0.000125,6.25e-08,247964.7673,30.65643478,2.212571593e-05
22,0.005625,0,0.000125,6.25e-08,250975.2017,31.22301378,2.237309214e-05
23,0.005875,0,0.000125,6.25e-08,253758.7573,31.74908635,2.260155489e-05
24,0.006125,0,0.000125,6.25e-08,256329.1676,32.23671096,2.281229605e-05
25,0.006375,0,0.000125,6.25e-08,258699.5206,32.68791658,2.300644379e-05
26,0.006625,0,0.000125,6.25e-08,260882.2704,33.10469034,2.318506503e-05
27,0.006875,0,0.000125,6.25e-08,262889.2478,33.48896745,2.334916783e-05
28,0.007125,0,0.000125,6.25e-08,264731.6742,33.84262332,2.349970357e-05
29,0.007375,0,0.000125,6.25e-08,266420.1769,34.16746768,2.363756929e-05
30,0.007625,0,0.000125,6.25e-08,267964.8077,34.46524056,2.376361004e-05
31,0.007875,0,0.000125,6.25e-08,269375.0624,34.73760958,2.387862128e-05
32,0.008125,0,0.000125,6.25e-08,270659.8999,34.98616822,2.398335103e-05
33,0.008375,0,0.000125,6.25e-08,271827.7615,35.21243482,2.407850202e-05
34,0.008625,0,0.000125,6.25e-08,272886.591,35.41785245,2.416473377e-05
35,0.008875,0,0.000125,6.25e-08,273843.8556,35.60378966,2.424266479e-05
36,0.009125,0,0.000125,6.25e-08,274706.5689,35.77154203,2.431287469e-05
37,0.009375,0,0.000125,6.25e-08,275481.3129,35.92233396,2.437590635e-05
38,0.009625,0,0.000125,6.25e-08,276174.2577,36.05732048,2.443226776e-05
39,0.009875,0,0.000125,6.25e-08,276791.1822,36.17758945,2.44824339e-05
40,0.010125,0,0.000125,6.25e-08,277337.4951,36.28416421,2.45268487e-05
41,0.010375,0,0.000125,6.25e-08,277818.2561,36.37800639,2.456592684e-05
42,0.010625,0,0.000125,6.25e-08,278238.1952,36.46001864,2.460005554e-05
43,0.010875,0,0.000125,6.25e-08,278601.7316,36.53104735,2.462959613e-05
44,0.011125,0,0.000125,6.25e-08,278912.9913,36.5918854,2.465488567e-05
45,0.011375,0,0.000125,6.25e-08,279175.825,36.64327491,2.467623842e-05
46,0.011625,0,0.000125,6.25e-08,279393.8243,36.68590993,2.469394726e-05
47,0.011875,0,0.000125,6.25e-08,279570.338,36.72043911,2.470828505e-05
48,0.012125,0,0.000125,6.25e-08,279708.487,36.74746826,2.471950593e-05
49,0.012375,0,0.000125,6.25e-08,279811.1784,36.76756279,2.472784647e-05
50,0.012625,0,0.000125,6.25e-08,279881.1199,36.78125017,2.47335269e-05
51,0.012875,0,0.000125,6.25e-08,279920.8327,36.78902236,2.473675219e-05
52,0.013125,0,0.000125,6.25e-08,279932.6644,36.791338,2.47377131e-05
53,0.013375,0,0.000125,6.25e-08,279918.8004,36.78862461,2.473658714e-05
54,0.013625,0,0.000125,6.25e-08,279881.2747,36.78128047,2.473353948e-05
55,0.013875,0,0.000125,6.25e-08,279821.98,36.76967656,2.472872375e-05
56,0.014125,0,0.000125,6.25e-08,279742.6775,36.75415835,2.472228289e-05
57,0.014375,0,0.000125,6.25e-08,279645.0057,36.73504749,2.471434986e-05
58,0.014625,0,0.000125,6.25e-08,279530.4894,36.71264343,2.470504832e-05
59,0.014875,0,0.000125,6.25e-08,279400.5476,36.687225,2.469449339e-05
60,0.015125,0,0.000125,6.25e-08,279256.5017,36.65905197,2.468279224e-05
61,0.015375,0,0.000125,6.25e-08,279099.5834,36.62836651,2.467004473e-05
62,0.015625,0,0.000125,6.25e-08,278930.9417,36.5953946,2.465634404e-05
63,0.015875,0,0.000125,6.25e-08,278751.6497,36.56034728,2.464177718e-05
64,0.016125,0,0.000125,6.25e-08,278562.7109,36.52342197,2.462642553e-05
65,0.016375,0,0.000125,6.25e-08,278365.0657,36.4848036,2.461036534e-05
66,0.016625,0,0.000125,6.25e-08,278159.5974,36.44466584,2.459366824e-05
67,0.016875,0,0.000125,6.25e-08,277947.1378,36.40317224,2.457640169e-05
68,0.017125,0,0.000125,6.25e-08,277728.4733,36.36047731,2.455862946e-05
69,0.017375,0,0.000125,6.25e-08,277504.3503,36.31672766,2.454041212e-05
