cellI,x,y,z,S,Ux,Uy,Uz
0,0,0.000125,0.000125,6.25e-08,100,0,0
100,0,0.000375,0.000125,6.25e-08,100,0,0
200,0,0.000625,0.000125,6.25e-08,100,0,0
300,0,0.000875,0.000125,6.25e-08,100,0,0
400,0,0.001125,0.000125,6.25e-08,100,0,0
500,0,0.001375,0.000125,6.25e-08,100,0,0
600,0,0.001625,0.000125,6.25e-08,100,0,0
700,0,0.001875,0.000125,6.25e-08,100,0,0
800,0,0.002125,0.000125,6.25e-08,100,0,0
900,0,0.002375,0.000125,6.25e-08,100,0,0
1000,0,0.002625,0.000125,6.25e-08,100,0,0
1100,0,0.002875,0.000125,6.25e-08,100,0,0
1200,0,0.003125,0.000125,6.25e-08,100,0,0
1300,0,0.003375,0.000125,6.25e-08,100,0,0
1400,0,0.003625,0.000125,6.25e-08,100,0,0
1500,0,0.003875,0.000125,6.25e-08,100,0,0
1600,0,0.004125,0.000125,6.25e-08,100,0,0
1700,0,0.004375,0.000125,6.25e-08,100,0,0
1800,0,0.004625,0.000125,6.25e-08,100,0,0
1900,0,0.004875,0.000125,6.25e-08,100,0,0
2000,0,0.005125,0.000125,6.25e-08,100,0,0
2100,0,0.005375,0.000125,6.25e-08,100,0,0
2200,0,0.005625,0.000125,6.25e-08,100,0,0
2300,0,0.005875,0.000125,6.25e-08,100,0,0
2400,0,0.006125,0.000125,6.25e-08,100,0,0
2500,0,0.006375,0.000125,6.25e-08,100,0,0
2600,0,0.006625,0.000125,6.25e-08,100,0,0
2700,0,0.006875,0.000125,6.25e-08,100,0,0
2800,0,0.007125,0.000125,6.25e-08,100,0,0
2900,0,0.007375,0.000125,6.25e-08,100,0,0
3000,0,0.007625,0.000125,6.25e-08,100,0,0
3100,0,0.007875,0.000125,6.25e-08,100,0,0
3200,0,0.008125,0.000125,6.25e-08,100,0,0
3300,0,0.008375,0.000125,6.25e-08,100,0,0
3400,0,0.008625,0.000125,6.25e-08,100,0,0
3500,0,0.008875,0.000125,6.25e-08,100,0,0
3600,0,0.009125,0.000125,6.25e-08,100,0,0
3700,0,0.009375,0.000125,6.25e-08,100,0,0
3800,0,0.009625,0.000125,6.25e-08,100,0,0
3900,0,0.009875,0.000125,6.25e-08,100,0,0
