cellI,x,y,z,V,Ux,Uy,Uz
0,0.000125,0.000125,0.000125,1.5625e-11,99.96176462,0.01428808983,0
1,0.000375,0.000125,0.000125,1.5625e-11,99.92387122,0.04112254121,0
2,0.000625,0.000125,0.000125,1.5625e-11,99.85858607,0.05761480683,0
3,0.000875,0.000125,0.000125,1.5625e-11,99.77379929,0.06961546072,0
4,0.001125,0.000125,0.000125,1.5625e-11,99.67982725,0.07921758652,0
5,0.001375,0.000125,0.000125,1.5625e-11,99.57965579,0.08737313343,0
6,0.001625,0.000125,0.000125,1.5625e-11,99.47345757,0.09443894328,0
7,0.001875,0.000125,0.000125,1.5625e-11,99.36152795,0.1006539436,0
8,0.002125,0.000125,0.000125,1.5625e-11,99.24449906,0.1062315369,0
9,0.002375,0.000125,0.000125,1.5625e-11,99.12300298,0.1112870926,0
10,0.002625,0.000125,0.000125,1.5625e-11,98.99754758,0.1158856713,0
11,0.002875,0.000125,0.000125,1.5625e-11,98.86854456,0.1200361584,0
12,0.003125,0.000125,0.000125,1.5625e-11,98.73634657,0.1237406932,0
13,0.003375,0.000125,0.000125,1.5625e-11,98.60131471,0.1270386719,0
14,0.003625,0.000125,0.000125,1.5625e-11,98.46377069,0.1299772932,0
15,0.003875,0.000125,0.000125,1.5625e-11,98.3239768,0.1326068145,0
16,0.004125,0.000125,0.000125,1.5625e-11,98.18218858,0.1349566835,0
17,0.004375,0.000125,0.000125,1.5625e-11,98.03865792,0.1370418512,0
18,0.004625,0.000125,0.000125,1.5625e-11,97.8936182,0.1388740102,0
19,0.004875,0.000125,0.000125,1.5625e-11,97.74727525,0.1404696571,0
20,0.005125,0.000125,0.000125,1.5625e-11,97.59981721,0.1418551186,0
21,0.005375,0.000125,0.000125,1.5625e-11,97.45143341,0.1430481493,0
22,0.005625,0.000125,0.000125,1.5625e-11,97.30229487,0.1440396497,0
23,0.005875,0.000125,0.000125,1.5625e-11,97.15254082,0.1448216001,0
24,0.006125,0.000125,0.000125,1.5625e-11,97.00229908,0.1454017486,0
25,0.006375,0.000125,0.000125,1.5625e-11,96.8516992,0.1457974344,0
26,0.006625,0.000125,0.000125,1.5625e-11,96.70086752,0.1460249258,0
27,0.006875,0.000125,0.000125,1.5625e-11,96.54991983,0.1460971553,0
28,0.007125,0.000125,0.000125,1.5625e-11,96.39896021,0.1460258552,0
29,0.007375,0.000125,0.000125,1.5625e-11,96.2480844,0.1458220766,0
30,0.007625,0.000125,0.000125,1.5625e-11,96.09738664,0.145496467,0
31,0.007875,0.000125,0.000125,1.5625e-11,95.9469601,0.1450599937,0
32,0.008125,0.000125,0.000125,1.5625e-11,95.7968883,0.1445221843,0
33,0.008375,0.000125,0.000125,1.5625e-11,95.64724139,0.1438901347,0
34,0.008625,0.000125,0.000125,1.5625e-11,95.49807808,0.1431737943,0
35,0.008875,0.000125,0.000125,1.5625e-11,95.34945091,0.1423813054,0
36,0.009125,0.000125,0.000125,1.5625e-11,95.20141348,0.1415155725,0
37,0.009375,0.000125,0.000125,1.5625e-11,95.05401617,0.140581083,0
38,0.009625,0.000125,0.000125,1.5625e-11,94.90729836,0.1395828074,0
39,0.009875,0.000125,0.000125,1.5625e-11,94.76129241,0.138525864,0
40,0.010125,0.000125,0.000125,1.5625e-11,94.61603051,0.1374165289,0
41,0.010375,0.000125,0.000125,1.5625e-11,94.47154523,0.1362615929,0
42,0.010625,0.000125,0.000125,1.5625e-11,94.32786685,0.1350672784,0
43,0.010875,0.000125,0.000125,1.5625e-11,94.1850221,0.1338388649,0
44,0.011125,0.000125,0.000125,1.5625e-11,94.0430348,0.1325808897,0
45,0.011375,0.000125,0.000125,1.5625e-11,93.90192629,0.1312974726,0
46,0.011625,0.000125,0.000125,1.5625e-11,93.76171587,0.129991544,0
47,0.011875,0.000125,0.000125,1.5625e-11,93.62242138,0.1286670039,0
48,0.012125,0.000125,0.000125,1.5625e-11,93.48405854,0.1273277554,0
49,0.012375,0.000125,0.000125,1.5625e-11,93.34664101,0.125975109,0
50,0.012625,0.000125,0.000125,1.5625e-11,93.21018253,0.1246098799,0
51,0.012875,0.000125,0.000125,1.5625e-11,93.07469811,0.1232326275,0
52,0.013125,0.000125,0.000125,1.5625e-11,92.94020372,0.1218441254,0
53,0.013375,0.000125,0.000125,1.5625e-11,92.80671501,0.1204459497,0
54,0.013625,0.000125,0.000125,1.5625e-11,92.67424642,0.1190398641,0
55,0.013875,0.000125,0.000125,1.5625e-11,92.54281158,0.1176273272,0
56,0.014125,0.000125,0.000125,1.5625e-11,92.41242414,0.1162094901,0
57,0.014375,0.000125,0.000125,1.5625e-11,92.28309791,0.1147878234,0
58,0.014625,0.000125,0.000125,1.5625e-11,92.15484694,0.1133632751,0
59,0.014875,0.000125,0.000125,1.5625e-11,92.02768697,0.1119352052,0
60,0.015125,0.000125,0.000125,1.5625e-11,91.90163757,0.1105018417,0
61,0.015375,0.000125,0.000125,1.5625e-11,91.77672275,0.1090610185,0
62,0.015625,0.000125,0.000125,1.5625e-11,91.65297069,0.107610286,0
63,0.015875,0.000125,0.000125,1.5625e-11,91.53041399,0.10614676,0
64,0.016125,0.000125,0.000125,1.5625e-11,91.40909066,0.1046670421,0
65,0.016375,0.000125,0.000125,1.5625e-11,91.28904528,0.1031671666,0
66,0.016625,0.000125,0.000125,1.5625e-11,91.17033016,0.1016425177,0
67,0.016875,0.000125,0.000125,1.5625e-11,91.05300669,0.1000877121,0
68,0.017125,0.000125,0.000125,1.5625e-11,90.93714674,0.09849660051,0
69,0.017375,0.000125,0.000125,1.5625e-11,90.82283429,0.096862164,0
70,0.017625,0.000125,0.000125,1.5625e-11,90.71016721,0.0951772855,0
71,0.017875,0.000125,0.000125,1.5625e-11,90.59925903,0.09343427661,0
72,0.018125,0.000125,0.000125,1.5625e-11,90.49024538,0.09161880169,0
73,0.018375,0.000125,0.000125,1.5625e-11,90.38329759,0.08970392542,0
74,0.018625,0.000125,0.000125,1.5625e-11,90.27862168,0.087667098,0
75,0.018875,0.000125,0.000125,1.5625e-11,90.17645263,0.08548626402,0
76,0.019125,0.000125,0.000125,1.5625e-11,90.07706453,0.0831345215,0
77,0.019375,0.000125,0.000125,1.5625e-11,89.98078536,0.08057802502,0
78,0.019625,0.000125,0.000125,1.5625e-11,89.88800889,0.07777460834,0
79,0.019875,0.000125,0.000125,1.5625e-11,89.79920687,0.07467193021,0
80,0.020125,0.000125,0.000125,1.5625e-11,89.71494471,0.07120443418,0
81,0.020375,0.000125,0.000125,1.5625e-11,89.63590102,0.06729021844,0
82,0.020625,0.000125,0.000125,1.5625e-11,89.56289199,0.06282298348,0
83,0.020875,0.000125,0.000125,1.5625e-11,89.49691861,0.05765358333,0
84,0.021125,0.000125,0.000125,1.5625e-11,89.43923908,0.05144481821,0
85,0.021375,0.000125,0.000125,1.5625e-11,89.39139243,0.04471179891,0
86,0.021625,0.000125,0.000125,1.5625e-11,89.35529232,0.03701591612,0
87,0.021875,0.000125,0.000125,1.5625e-11,89.33312658,0.02911147389,0
88,0.022125,0.000125,0.000125,1.5625e-11,89.32791465,0.0178752626,0
89,0.022375,0.000125,0.000125,1.5625e-11,89.34378932,0.004280673109,0
90,0.022625,0.000125,0.000125,1.5625e-11,89.38641694,-0.01594007341,0
91,0.022875,0.000125,0.000125,1.5625e-11,89.46293766,-0.03824079273,0
92,0.023125,0.000125,0.000125,1.5625e-11,89.5822249,-0.06620919052,0
93,0.023375,0.000125,0.000125,1.5625e-11,89.756973,-0.1035066273,0
94,0.023625,0.000125,0.000125,1.5625e-11,90.00632836,-0.1558747977,0
95,0.023875,0.000125,0.000125,1.5625e-11,90.3593993,-0.229306118,0
96,0.024125,0.000125,0.000125,1.5625e-11,90.86469467,-0.3429644895,0
97,0.024375,0.000125,0.000125,1.5625e-11,91.59862373,-0.4979788029,0
98,0.024625,0.000125,0.000125,1.5625e-11,92.72169045,-0.8849776638,0
99,0.024875,0.000125,0.000125,1.5625e-11,94.60768352,-1.055420198,0
100,0.000125,0.000375,0.000125,1.5625e-11,100.0063444,0.03194279849,0
101,0.000375,0.000375,0.000125,1.5625e-11,100.0272928,0.06645995967,0
102,0.000625,0.000375,0.000125,1.5625e-11,100.0468271,0.08338120213,0
103,0.000875,0.000375,0.000125,1.5625e-11,100.0553794,0.09478943958,0
104,0.001125,0.000375,0.000125,1.5625e-11,100.0612544,0.1041377704,0
105,0.001375,0.000375,0.000125,1.5625e-11,100.0660221,0.1117670738,0
106,0.001625,0.000375,0.000125,1.5625e-11,100.0694038,0.118054093,0
107,0.001875,0.000375,0.000125,1.5625e-11,100.0712748,0.1236060052,0
108,0.002125,0.000375,0.000125,1.5625e-11,100.0718605,0.1283948172,0
109,0.002375,0.000375,0.000125,1.5625e-11,100.0712899,0.1326366717,0
110,0.002625,0.000375,0.000125,1.5625e-11,100.069615,0.1363639058,0
111,0.002875,0.000375,0.000125,1.5625e-11,100.0668477,0.1398351068,0
112,0.003125,0.000375,0.000125,1.5625e-11,100.0630595,0.1429611978,0
113,0.003375,0.000375,0.000125,1.5625e-11,100.0583337,0.1456207708,0
114,0.003625,0.000375,0.000125,1.5625e-11,100.0527064,0.1480938519,0
115,0.003875,0.000375,0.000125,1.5625e-11,100.0461367,0.1502868426,0
116,0.004125,0.000375,0.000125,1.5625e-11,100.0385895,0.1521917406,0
117,0.004375,0.000375,0.000125,1.5625e-11,100.0300589,0.1538513375,0
118,0.004625,0.000375,0.000125,1.5625e-11,100.0205571,0.1552924067,0
119,0.004875,0.000375,0.000125,1.5625e-11,100.010092,0.156543276,0
120,0.005125,0.000375,0.000125,1.5625e-11,99.99864001,0.1575819694,0
121,0.005375,0.000375,0.000125,1.5625e-11,99.98618721,0.1584170431,0
122,0.005625,0.000375,0.000125,1.5625e-11,99.97274261,0.1591701928,0
123,0.005875,0.000375,0.000125,1.5625e-11,99.95831829,0.1598616876,0
124,0.006125,0.000375,0.000125,1.5625e-11,99.94292239,0.1604653732,0
125,0.006375,0.000375,0.000125,1.5625e-11,99.92656278,0.1609601786,0
