cellI,x,y,z,S,Ux,Uy,Uz
21699,0.15,0.000125,0.000125,6.25e-08,70.99280763,-0.04421566265,0
21799,0.15,0.000375,0.000125,6.25e-08,80.74314404,-0.09080941319,0
21899,0.15,0.000625,0.000125,6.25e-08,86.72190053,-0.1292701248,0
21999,0.15,0.000875,0.000125,6.25e-08,91.62066029,-0.1312351391,0
22099,0.15,0.001125,0.000125,6.25e-08,95.68257135,-0.1099025871,0
22199,0.15,0.001375,0.000125,6.25e-08,98.84471301,-0.07834203073,0
22299,0.15,0.001625,0.000125,6.25e-08,101.1315702,-0.04976665404,0
22399,0.15,0.001875,0.000125,6.25e-08,102.7165298,-0.02962908747,0
22499,0.15,0.002125,0.000125,6.25e-08,103.8175058,-0.01712835354,0
22599,0.15,0.002375,0.000125,6.25e-08,104.6057454,-0.009662893561,0
22699,0.15,0.002625,0.000125,6.25e-08,105.1893145,-0.005147584782,0
22799,0.15,0.002875,0.000125,6.25e-08,105.6314396,-0.002309934015,0
22899,0.15,0.003125,0.000125,6.25e-08,105.9700043,-0.0004915849281,0
22999,0.15,0.003375,0.000125,6.25e-08,106.2295756,0.0006448145662,0
23099,0.15,0.003625,0.000125,6.25e-08,106.4274439,0.001278142295,0
23199,0.15,0.003875,0.000125,6.25e-08,106.5763539,0.00152591208,0
23299,0.15,0.004125,0.000125,6.25e-08,106.6857597,0.001473103361,0
23399,0.15,0.004375,0.000125,6.25e-08,106.7625076,0.00118210599,0
23499,0.15,0.004625,0.000125,6.25e-08,106.8112985,0.0007457648329,0
23599,0.15,0.004875,0.000125,6.25e-08,106.8348855,0.0001904334776,0
23699,0.15,0.005125,0.000125,6.25e-08,106.8348856,-0.0001903278719,0
23799,0.15,0.005375,0.000125,6.25e-08,106.8112985,-0.0007454251267,0
23899,0.15,0.005625,0.000125,6.25e-08,106.7625077,-0.001181417093,0
23999,0.15,0.005875,0.000125,6.25e-08,106.6857599,-0.001472117693,0
24099,0.15,0.006125,0.000125,6.25e-08,106.5763541,-0.001525019707,0
24199,0.15,0.006375,0.000125,6.25e-08,106.4274441,-0.001277742009,0
24299,0.15,0.006625,0.000125,6.25e-08,106.2295758,-0.0006452823082,0
24399,0.15,0.006875,0.000125,6.25e-08,105.9700045,0.0004902077348,0
24499,0.15,0.007125,0.000125,6.25e-08,105.6314398,0.002308066061,0
24599,0.15,0.007375,0.000125,6.25e-08,105.1893147,0.005145920868,0
24699,0.15,0.007625,0.000125,6.25e-08,104.6057456,0.009661955891,0
24799,0.15,0.007875,0.000125,6.25e-08,103.8175061,0.01712806045,0
24899,0.15,0.008125,0.000125,6.25e-08,102.7165302,0.02962874631,0
24999,0.15,0.008375,0.000125,6.25e-08,101.1315706,0.04976543915,0
25099,0.15,0.008625,0.000125,6.25e-08,98.84471331,0.07833963882,0
25199,0.15,0.008875,0.000125,6.25e-08,95.68257143,0.1098995441,0
25299,0.15,0.009125,0.000125,6.25e-08,91.62066016,0.1312325144,0
25399,0.15,0.009375,0.000125,6.25e-08,86.72190036,0.1292688458,0
25499,0.15,0.009625,0.000125,6.25e-08,80.74314391,0.09080959405,0
25599,0.15,0.009875,0.000125,6.25e-08,70.99280789,0.04421617326,0
