# Residuals       
# Time            	Ux                	Uy                	p                 	k                 	omega             
0                 	N/A	N/A	N/A	N/A
1                 	1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	2.1485678693e-02
2                 	4.6896940105e-01	3.8858730769e-01	1.6029022526e-02	2.5697179460e-01	3.4935452722e-03
3                 	3.3252213412e-01	2.6636956797e-01	1.3784620644e-02	1.2390022296e-01	3.2816546405e-03
4                 	2.4111158580e-01	1.8581116697e-01	1.5033017939e-02	7.4214362806e-02	3.1304595318e-03
5                 	1.6802859358e-01	1.2771487685e-01	2.1080348242e-02	4.9033162332e-02	3.0004256453e-03
6                 	1.0343969955e-01	8.6329555160e-02	3.2996611523e-02	3.7225142524e-02	3.0244826499e-03
7                 	4.5396381208e-02	6.1048221064e-02	1.0849095770e-01	2.9966923674e-02	2.8811900381e-03
8                 	2.9558826968e-02	6.1127801119e-02	5.6119818285e-02	2.8289518141e-02	3.0216436607e-03
9                 	8.1686452189e-02	6.9943966751e-02	2.8834658998e-02	2.5461101804e-02	2.6584909138e-03
10                	1.2251122356e-01	7.5487967713e-02	2.3362255405e-02	2.6577214858e-02	2.7618726877e-03
11                	1.4147052503e-01	7.2885227218e-02	2.6187122927e-02	2.5677467816e-02	2.4796826465e-03
12                	1.2969859169e-01	6.4636984483e-02	3.2384096851e-02	2.4994081942e-02	2.3584648825e-03
13                	8.9244186467e-02	5.2339291854e-02	4.5807650790e-02	2.4649329681e-02	2.2877693230e-03
14                	4.0399138664e-02	5.2771081359e-02	8.0258732531e-02	2.3780358890e-02	2.3823030384e-03
15                	3.1913209881e-02	5.7150356733e-02	1.7637195209e-01	2.4581649594e-02	2.3569956124e-03
16                	5.3686595173e-02	6.1107275690e-02	8.1549966770e-02	2.4137403107e-02	2.4195042130e-03
17                	5.9899639170e-02	6.0999059672e-02	6.5463441665e-02	2.2849775522e-02	2.3982375314e-03
18                	5.4324309047e-02	5.6364483927e-02	6.7516103982e-02	2.1659620215e-02	2.3236838739e-03
19                	4.2187115309e-02	4.8736175191e-02	8.6770691531e-02	2.0201712207e-02	2.2253996876e-03
20                	2.6866688975e-02	4.2829755275e-02	1.5009461169e-01	1.8884942224e-02	2.1086026061e-03
21                	1.2444382435e-02	3.9716613695e-02	8.6360809046e-02	1.7794906781e-02	1.9800901535e-03
22                	1.9995507125e-02	3.9150724423e-02	5.9275117888e-02	1.6642343319e-02	1.8426596386e-03
23                	2.7966637955e-02	3.9220156290e-02	4.9122079553e-02	1.5466367830e-02	1.7132714308e-03
24                	3.1791098736e-02	3.8984935706e-02	4.5957007982e-02	1.4346507242e-02	1.5946448178e-03
25                	3.0550619402e-02	3.8620391538e-02	4.7098005103e-02	1.3311243855e-02	1.4952424492e-03
26                	2.5056339221e-02	3.8052394179e-02	5.2558253416e-02	1.2382831061e-02	1.4062538435e-03
27                	1.8199168853e-02	3.7761177266e-02	6.2277113482e-02	1.1589228079e-02	1.3282148429e-03
